YEAR,DOMINANT_SPECIES,AGE_GROUP,TYPE,AREA,UNIT
1999,all,...10,production,103.8,kha
1999,all,101...110,production,28.8,kha
1999,all,11...20,production,119.5,kha
1999,all,111...120,production,20.5,kha
1999,all,121...130,production,3.9,kha
1999,all,131...140,production,0.0,kha
1999,all,141...,production,5.5,kha
1999,all,21...30,production,186.1,kha
1999,all,31...40,production,307.5,kha
1999,all,41...50,production,313.4,kha
1999,all,51...60,production,287.2,kha
1999,all,61...70,production,193.2,kha
1999,all,71...80,production,144.8,kha
1999,all,81...90,production,92.5,kha
1999,all,91...100,production,44.8,kha
1999,all,clearcut,production,48.7,kha
1999,all,unknown,production,79.4,kha
1999,all,...10,protected,8.0,kha
1999,all,101...110,protected,5.7,kha
1999,all,11...20,protected,8.1,kha
1999,all,111...120,protected,3.4,kha
1999,all,121...130,protected,2.3,kha
1999,all,131...140,protected,5.2,kha
1999,all,141...,protected,4.9,kha
1999,all,21...30,protected,12.3,kha
1999,all,31...40,protected,18.1,kha
1999,all,41...50,protected,22.5,kha
1999,all,51...60,protected,33.9,kha
1999,all,61...70,protected,37.5,kha
1999,all,71...80,protected,17.1,kha
1999,all,81...90,protected,14.4,kha
1999,all,91...100,protected,9.2,kha
1999,all,clearcut,protected,3.5,kha
1999,all,unknown,protected,7.1,kha
1999,aspen,...10,production,4.9,kha
1999,aspen,101...110,production,0.0,kha
1999,aspen,11...20,production,4.4,kha
1999,aspen,111...120,production,0.0,kha
1999,aspen,121...130,production,0.0,kha
1999,aspen,131...140,production,0.0,kha
1999,aspen,141...,production,0.0,kha
1999,aspen,21...30,production,7.4,kha
1999,aspen,31...40,production,14.3,kha
1999,aspen,41...50,production,25.8,kha
1999,aspen,51...60,production,21.4,kha
1999,aspen,61...70,production,12.7,kha
1999,aspen,71...80,production,8.0,kha
1999,aspen,81...90,production,5.7,kha
1999,aspen,91...100,production,1.1,kha
1999,aspen,clearcut,production,0.0,kha
1999,aspen,unknown,production,13.5,kha
1999,aspen,...10,protected,0.0,kha
1999,aspen,101...110,protected,0.0,kha
1999,aspen,11...20,protected,0.0,kha
1999,aspen,111...120,protected,0.0,kha
1999,aspen,121...130,protected,0.0,kha
1999,aspen,131...140,protected,0.0,kha
1999,aspen,141...,protected,0.0,kha
1999,aspen,21...30,protected,0.0,kha
1999,aspen,31...40,protected,0.0,kha
1999,aspen,41...50,protected,0.0,kha
1999,aspen,51...60,protected,6.9,kha
1999,aspen,61...70,protected,4.5,kha
1999,aspen,71...80,protected,1.1,kha
1999,aspen,81...90,protected,0.0,kha
1999,aspen,91...100,protected,0.0,kha
1999,aspen,clearcut,protected,1.1,kha
1999,aspen,unknown,protected,0.0,kha
1999,birch,...10,production,60.0,kha
1999,birch,101...110,production,0.0,kha
1999,birch,11...20,production,31.2,kha
1999,birch,111...120,production,0.0,kha
1999,birch,121...130,production,0.0,kha
1999,birch,131...140,production,0.0,kha
1999,birch,141...,production,0.0,kha
1999,birch,21...30,production,53.4,kha
1999,birch,31...40,production,117.7,kha
1999,birch,41...50,production,133.0,kha
1999,birch,51...60,production,114.6,kha
1999,birch,61...70,production,42.6,kha
1999,birch,71...80,production,24.3,kha
1999,birch,81...90,production,4.6,kha
1999,birch,91...100,production,1.1,kha
1999,birch,clearcut,production,13.9,kha
1999,birch,unknown,production,11.9,kha
1999,birch,...10,protected,6.8,kha
1999,birch,101...110,protected,0.0,kha
1999,birch,11...20,protected,2.3,kha
1999,birch,111...120,protected,0.0,kha
1999,birch,121...130,protected,0.0,kha
1999,birch,131...140,protected,0.0,kha
1999,birch,141...,protected,0.0,kha
1999,birch,21...30,protected,0.0,kha
1999,birch,31...40,protected,9.1,kha
1999,birch,41...50,protected,9.6,kha
1999,birch,51...60,protected,11.1,kha
1999,birch,61...70,protected,7.5,kha
1999,birch,71...80,protected,1.2,kha
1999,birch,81...90,protected,0.0,kha
1999,birch,91...100,protected,0.0,kha
1999,birch,clearcut,protected,0.0,kha
1999,birch,unknown,protected,4.2,kha
1999,black alder,...10,production,0.0,kha
1999,black alder,101...110,production,1.1,kha
1999,black alder,11...20,production,4.6,kha
1999,black alder,111...120,production,0.0,kha
1999,black alder,121...130,production,0.0,kha
1999,black alder,131...140,production,0.0,kha
1999,black alder,141...,production,0.0,kha
1999,black alder,21...30,production,0.5,kha
1999,black alder,31...40,production,13.6,kha
1999,black alder,41...50,production,12.7,kha
1999,black alder,51...60,production,7.6,kha
1999,black alder,61...70,production,2.4,kha
1999,black alder,71...80,production,1.0,kha
1999,black alder,81...90,production,0.0,kha
1999,black alder,91...100,production,0.0,kha
1999,black alder,clearcut,production,0.0,kha
1999,black alder,unknown,production,2.3,kha
1999,black alder,...10,protected,0.0,kha
1999,black alder,101...110,protected,0.0,kha
1999,black alder,11...20,protected,2.8,kha
1999,black alder,111...120,protected,0.0,kha
1999,black alder,121...130,protected,0.0,kha
1999,black alder,131...140,protected,0.0,kha
1999,black alder,141...,protected,0.0,kha
1999,black alder,21...30,protected,1.1,kha
1999,black alder,31...40,protected,1.2,kha
1999,black alder,41...50,protected,2.3,kha
1999,black alder,51...60,protected,3.5,kha
1999,black alder,61...70,protected,1.2,kha
1999,black alder,71...80,protected,1.1,kha
1999,black alder,81...90,protected,0.0,kha
1999,black alder,91...100,protected,0.0,kha
1999,black alder,clearcut,protected,0.0,kha
1999,black alder,unknown,protected,1.1,kha
1999,grey alder,...10,production,22.1,kha
1999,grey alder,101...110,production,0.0,kha
1999,grey alder,11...20,production,20.9,kha
1999,grey alder,111...120,production,0.0,kha
1999,grey alder,121...130,production,0.0,kha
1999,grey alder,131...140,production,0.0,kha
1999,grey alder,141...,production,0.0,kha
1999,grey alder,21...30,production,49.9,kha
1999,grey alder,31...40,production,61.2,kha
1999,grey alder,41...50,production,30.1,kha
1999,grey alder,51...60,production,8.0,kha
1999,grey alder,61...70,production,0.0,kha
1999,grey alder,71...80,production,0.0,kha
1999,grey alder,81...90,production,0.0,kha
1999,grey alder,91...100,production,0.0,kha
1999,grey alder,clearcut,production,2.0,kha
1999,grey alder,unknown,production,4.0,kha
1999,grey alder,...10,protected,0.0,kha
1999,grey alder,101...110,protected,0.0,kha
1999,grey alder,11...20,protected,0.2,kha
1999,grey alder,111...120,protected,0.0,kha
1999,grey alder,121...130,protected,0.0,kha
1999,grey alder,131...140,protected,0.0,kha
1999,grey alder,141...,protected,0.0,kha
1999,grey alder,21...30,protected,1.6,kha
1999,grey alder,31...40,protected,0.0,kha
1999,grey alder,41...50,protected,0.0,kha
1999,grey alder,51...60,protected,0.0,kha
1999,grey alder,61...70,protected,0.0,kha
1999,grey alder,71...80,protected,0.0,kha
1999,grey alder,81...90,protected,0.0,kha
1999,grey alder,91...100,protected,0.0,kha
1999,grey alder,clearcut,protected,0.0,kha
1999,grey alder,unknown,protected,0.0,kha
1999,other,...10,production,3.6,kha
1999,other,101...110,production,0.0,kha
1999,other,11...20,production,2.1,kha
1999,other,111...120,production,0.0,kha
1999,other,121...130,production,0.0,kha
1999,other,131...140,production,0.0,kha
1999,other,141...,production,0.0,kha
1999,other,21...30,production,4.1,kha
1999,other,31...40,production,6.9,kha
1999,other,41...50,production,3.4,kha
1999,other,51...60,production,1.1,kha
1999,other,61...70,production,3.4,kha
1999,other,71...80,production,4.6,kha
1999,other,81...90,production,0.0,kha
1999,other,91...100,production,1.1,kha
1999,other,clearcut,production,0.0,kha
1999,other,unknown,production,0.0,kha
1999,other,...10,protected,0.0,kha
1999,other,101...110,protected,0.0,kha
1999,other,11...20,protected,0.0,kha
1999,other,111...120,protected,0.0,kha
1999,other,121...130,protected,0.0,kha
1999,other,131...140,protected,0.0,kha
1999,other,141...,protected,0.0,kha
1999,other,21...30,protected,0.0,kha
1999,other,31...40,protected,0.0,kha
1999,other,41...50,protected,0.0,kha
1999,other,51...60,protected,1.2,kha
1999,other,61...70,protected,2.3,kha
1999,other,71...80,protected,1.1,kha
1999,other,81...90,protected,0.0,kha
1999,other,91...100,protected,1.2,kha
1999,other,clearcut,protected,1.1,kha
1999,other,unknown,protected,0.0,kha
1999,pine,...10,production,12.0,kha
1999,pine,101...110,production,18.5,kha
1999,pine,11...20,production,33.6,kha
1999,pine,111...120,production,15.9,kha
1999,pine,121...130,production,3.9,kha
1999,pine,131...140,production,0.0,kha
1999,pine,141...,production,5.5,kha
1999,pine,21...30,production,27.6,kha
1999,pine,31...40,production,49.6,kha
1999,pine,41...50,production,76.7,kha
1999,pine,51...60,production,88.8,kha
1999,pine,61...70,production,79.0,kha
1999,pine,71...80,production,71.5,kha
1999,pine,81...90,production,59.1,kha
1999,pine,91...100,production,29.9,kha
1999,pine,clearcut,production,10.1,kha
1999,pine,unknown,production,22.3,kha
1999,pine,...10,protected,0.5,kha
1999,pine,101...110,protected,4.6,kha
1999,pine,11...20,protected,1.2,kha
1999,pine,111...120,protected,3.5,kha
1999,pine,121...130,protected,2.3,kha
1999,pine,131...140,protected,5.2,kha
1999,pine,141...,protected,4.9,kha
1999,pine,21...30,protected,7.3,kha
1999,pine,31...40,protected,3.2,kha
1999,pine,41...50,protected,10.3,kha
1999,pine,51...60,protected,10.3,kha
1999,pine,61...70,protected,20.8,kha
1999,pine,71...80,protected,10.3,kha
1999,pine,81...90,protected,13.3,kha
1999,pine,91...100,protected,8.0,kha
1999,pine,clearcut,protected,1.2,kha
1999,pine,unknown,protected,0.5,kha
1999,spruce,...10,production,1.1,kha
1999,spruce,101...110,production,9.1,kha
1999,spruce,11...20,production,22.7,kha
1999,spruce,111...120,production,4.6,kha
1999,spruce,121...130,production,0.0,kha
1999,spruce,131...140,production,0.0,kha
1999,spruce,141...,production,0.0,kha
1999,spruce,21...30,production,43.2,kha
1999,spruce,31...40,production,44.2,kha
1999,spruce,41...50,production,31.7,kha
1999,spruce,51...60,production,45.5,kha
1999,spruce,61...70,production,53.2,kha
1999,spruce,71...80,production,35.4,kha
1999,spruce,81...90,production,23.1,kha
1999,spruce,91...100,production,11.5,kha
1999,spruce,clearcut,production,22.7,kha
1999,spruce,unknown,production,25.5,kha
1999,spruce,...10,protected,0.7,kha
1999,spruce,101...110,protected,1.2,kha
1999,spruce,11...20,protected,1.8,kha
1999,spruce,111...120,protected,0.0,kha
1999,spruce,121...130,protected,0.0,kha
1999,spruce,131...140,protected,0.0,kha
1999,spruce,141...,protected,0.0,kha
1999,spruce,21...30,protected,2.3,kha
1999,spruce,31...40,protected,4.6,kha
1999,spruce,41...50,protected,0.3,kha
