YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,production,283.37,514.23,625.7,352.12,204.19
2000,kha,production,290.31,467.26,626.29,401.36,248.18
2001,kha,production,289.1,486.47,640.02,399.45,231.47
2002,kha,production,296.46,477.99,625.91,398.53,228.21
2003,kha,production,306.96,488.73,632.53,401.19,230.09
2004,kha,production,324.39,467.67,627.66,406.95,242.04
2005,kha,production,326.29,466.96,614.94,404.94,236.77
2006,kha,production,333.21,450.15,608.05,404.6,251.18
2007,kha,production,340.4,423.88,602.0,412.33,258.89
2008,kha,production,345.93,398.59,589.15,410.87,262.05
2009,kha,production,337.99,401.94,583.38,414.44,256.95
2010,kha,production,345.48,402.5,586.58,408.85,266.18
2011,kha,production,355.77,391.03,577.42,425.97,257.21
2012,kha,production,367.34,396.23,559.46,433.05,250.11
2013,kha,production,381.75,391.87,553.46,434.57,248.76
2014,kha,production,411.63,387.6,540.38,406.33,238.25
2015,kha,production,432.56,380.46,524.75,398.22,232.65
2016,kha,production,446.59,373.22,504.36,384.62,236.49
2017,kha,production,450.59,373.06,495.91,365.21,238.76
2018,kha,production,467.48,376.28,490.2,376.3,252.66
2019,kha,production,474.38,372.88,476.17,372.15,254.92
2020,kha,production,487.16,370.59,453.99,363.61,252.78
2021,kha,production,493.97,375.11,426.17,342.6,237.51
2022,kha,production,504.99,384.91,410.12,331.18,224.67
2023,kha,production,515.51,394.44,400.32,351.76,242.57
