YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,production,10.48779564806055,24.47152317880795,53.22838221381268,23.343803216650898,7.668495742667928
2000,kha,production,16.962535477767265,16.746452223273415,55.64143803216651,20.5279091769158,4.32166508987701
2001,kha,production,14.608829174664107,19.296737044145875,55.49174664107486,20.27792706333973,3.9247600767754314
2002,kha,production,15.407894736842106,20.030263157894737,57.55949248120301,21.130827067669173,2.9715225563909775
2003,kha,production,21.109584086799277,20.669801084990958,56.072332730560575,20.55985533453888,3.188426763110307
2004,kha,production,25.38305084745763,19.416949152542372,53.044067796610165,21.04406779661017,2.7118644067796613
2005,kha,production,23.194833948339486,19.803136531365315,50.10959409594096,22.319557195571953,3.172878228782288
2006,kha,production,27.275638686131384,17.60419708029197,47.705200729927,23.363594890510946,3.151368613138686
2007,kha,production,29.08478873239436,16.098591549295772,43.46619718309859,22.32338028169014,3.327042253521127
2008,kha,production,31.316231343283583,14.649626865671642,42.14421641791044,22.611380597014925,3.078544776119403
2009,kha,production,31.713200379867047,13.86780626780627,42.14093067426401,20.962962962962962,4.515099715099715
2010,kha,production,34.63068181818182,12.850378787878787,43.996212121212125,19.711174242424242,3.8115530303030303
2011,kha,production,37.31370745170194,12.143514259429622,46.03495860165593,20.533578656853724,3.974241030358786
2012,kha,production,39.103881700554524,11.442329020332718,43.10314232902033,22.551386321626616,3.9992606284658043
2013,kha,production,38.93029162746943,10.425776105362182,40.37215428033866,23.73527751646284,4.436500470366886
2014,kha,production,43.8382084095064,11.675502742230346,34.475776965265084,26.104661791590495,4.405850091407679
2015,kha,production,45.851131221719456,12.424886877828055,31.007239819004525,27.26877828054299,4.947963800904978
2016,kha,production,50.45356200527704,11.877836411609497,29.858047493403696,26.262005277044857,5.4485488126649075
2017,kha,production,52.7067005937235,12.229686174724343,30.628329092451228,25.216963528413906,6.818320610687023
2018,kha,production,53.25570583262891,13.725697379543533,30.855367709213862,25.36508875739645,6.6981403212172435
2019,kha,production,53.70426065162907,14.666666666666668,33.41353383458647,22.827067669172934,7.388471177944862
2020,kha,production,57.639282803585985,13.780929095354523,29.639934800325996,24.936919315403422,8.202933985330073
2021,kha,production,56.068760611205434,16.253395585738538,26.179966044142617,22.143887945670627,7.853989813242784
2022,kha,production,56.255226480836235,17.80505226480836,23.594425087108014,20.863588850174217,6.881707317073171
2023,kha,production,58.83270868824531,18.527427597955707,21.344463373083475,22.319591141396934,6.17580919931857
