YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,production,107.19706572769954,174.51396713615026,252.54037558685445,68.23485915492958,5.813732394366197
2000,kha,production,111.46118886876337,163.1890334266425,242.62822328338547,91.85797793512268,14.163576486085955
2001,kha,production,113.98519052193404,165.56219980787705,253.13996157540828,96.86162343900097,14.751024655779702
2002,kha,production,125.09580073447229,161.28053648411304,248.6408270796743,97.49201660546063,14.99081909627974
2003,kha,production,124.80470513431887,159.89953902400254,253.65881417898584,99.78146558575743,15.055476076935307
2004,kha,production,129.67169206094627,148.62771451483562,253.8232237369687,101.1335044105854,16.14386527666399
2005,kha,production,130.15296116504854,145.8592718446602,254.54694174757282,100.8345145631068,15.706310679611653
2006,kha,production,131.33373173970784,139.3852423638778,246.5644422310757,96.19986719787516,16.41671646746348
2007,kha,production,128.3761647535449,133.91682984469955,243.1620189061445,95.75941931127616,18.085567184334906
2008,kha,production,134.33656792645556,126.83871297242084,234.72451481103167,97.47211440245148,18.32808988764045
2009,kha,production,128.92063840567474,129.5439452795136,229.79246748859993,107.10489782131395,19.738051004897823
2010,kha,production,132.32566986437314,131.91376116440622,227.47657955673174,109.46473701620906,21.419252398279855
2011,kha,production,133.57813712807243,132.240297542044,225.477425614489,121.94922380336352,23.154915912031047
2012,kha,production,135.78058252427184,135.67771844660194,216.01456310679612,127.0371359223301,21.189999999999998
2013,kha,production,133.26532614026485,136.65865620402158,213.98545038417527,123.18816413274482,21.902403138793527
2014,kha,production,142.9213028458628,135.5235071557822,206.72729067280804,117.95374239184076,21.4741569337062
2015,kha,production,146.2770795132522,132.80148358059677,199.047924654109,116.03413902317054,22.939373228871478
2016,kha,production,145.74451491258142,131.32456290709632,189.82836818649298,111.54862872814536,22.45392526568392
2017,kha,production,146.24498794350671,133.1468825353083,188.83961419221495,107.15694109541852,23.4115742335515
2018,kha,production,149.12715231788079,134.24544065206317,185.7113601630158,113.36970623195789,26.146340635082353
2019,kha,production,147.45795493934142,131.14301559792028,175.61941074523395,115.76332755632583,29.61629116117851
2020,kha,production,151.73750218035931,134.40204081632652,169.80397697540556,112.4716378859236,30.284842141985003
2021,kha,production,155.49514580369845,134.99948435277383,159.67793385490754,110.00732574679944,27.92011024182077
2022,kha,production,154.72221033868092,138.6661319073084,151.07310160427807,114.26923351158644,26.16932263814617
2023,kha,production,159.5819029194513,143.7590397467464,146.881973267675,115.34034470629615,26.336739359831164
