YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,production,4.843218390804597,14.84551724137931,21.37333333333333,3.5797701149425283,1.15816091954023
2000,kha,production,5.569372693726937,13.407749077490774,27.434317343173433,7.6321033210332105,1.8564575645756456
2001,kha,production,4.922866894197952,15.486518771331058,28.819283276450513,7.794539249146757,3.07679180887372
2002,kha,production,5.433453237410072,14.04496402877698,27.06474820143885,7.791366906474819,2.6654676258992804
2003,kha,production,4.907470288624788,15.975382003395588,29.966893039049232,8.561969439728353,2.0882852292020373
2004,kha,production,6.231932773109244,14.541176470588235,29.601680672268905,8.932436974789915,2.4927731092436973
2005,kha,production,6.574390243902439,13.98362369337979,27.236759581881536,9.183275261324042,2.921951219512195
2006,kha,production,8.527404718693285,12.791107078039929,24.64627949183303,9.151361161524502,2.183847549909256
2007,kha,production,8.7270796460177,12.051681415929203,23.48,12.259469026548672,2.181769911504425
2008,kha,production,10.075087719298246,9.35543859649123,22.617543859649125,13.981754385964912,2.5701754385964914
2009,kha,production,11.100505902192243,10.367453625632379,23.45767284991568,14.242158516020236,2.93220910623946
2010,kha,production,12.357788944723618,9.801005025125628,23.33065326633166,14.275376884422109,3.835175879396985
2011,kha,production,11.14527687296417,9.859283387622149,25.291205211726385,15.431921824104235,4.072312703583062
2012,kha,production,13.238632750397457,11.301271860095389,25.93910969793323,12.915739268680445,4.3052464228934815
2013,kha,production,13.681642512077294,11.52705314009662,25.208695652173912,11.957971014492752,4.524637681159421
2014,kha,production,14.442978003384095,9.808291032148901,22.850084602368867,12.61065989847716,3.987986463620982
2015,kha,production,14.087213114754098,11.419180327868853,22.411475409836065,13.873770491803278,3.308360655737705
2016,kha,production,17.62952691680261,11.356443719412724,20.982381729200654,13.30326264274062,3.028384991843393
2017,kha,production,19.294656488549617,11.164885496183206,23.630534351145037,13.874809160305343,3.0351145038167937
2018,kha,production,22.04434782608696,11.458695652173912,23.463043478260868,15.387391304347826,2.946521739130435
2019,kha,production,23.7622695035461,11.935886524822696,23.105248226950355,15.33049645390071,3.066099290780142
2020,kha,production,28.36648575305292,12.607327001356852,22.497557666214384,13.476797829036636,3.1518317503392135
2021,kha,production,28.634972677595627,12.48743169398907,21.099453551912568,12.810382513661203,3.76775956284153
2022,kha,production,28.422127659574468,13.242127659574468,19.055744680851063,11.304255319148936,3.8757446808510636
2023,kha,production,30.374965229485397,13.048400556328232,17.21961057023644,12.085813630041724,4.1712100139082064
