YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,production,45.92687950566427,113.38836251287333,38.88475798146241,0.0,0.0
2000,kha,production,44.55390995260663,101.12701421800948,29.21907582938389,0.0,0.0
2001,kha,production,46.967958357432046,105.46633892423365,30.4657027183343,0.0,0.0
2002,kha,production,48.016006984866124,106.1628637951106,27.121129220023285,0.0,0.0
2003,kha,production,54.07152740819585,113.80170303352847,29.026769558275678,0.0,0.0
2004,kha,production,57.87754237288136,109.37076271186442,29.933050847457626,0.4186440677966102,0.0
2005,kha,production,60.419161056447436,108.27281201450026,32.77503883997929,0.7329880890730192,0.0
2006,kha,production,61.55485017775521,107.28131030980194,34.13966480446928,0.7241747079735906,0.0
2007,kha,production,59.7774193548387,97.0867741935484,33.90822580645161,0.9275806451612904,0.0
2008,kha,production,57.59684994272624,87.88928980526919,33.48654066437571,0.927319587628866,0.0
2009,kha,production,59.33237986270022,87.70423340961099,32.82437070938215,1.1390160183066362,0.0
2010,kha,production,60.021476888387824,87.69977452085682,35.03844419391206,1.140304396843292,0.0
2011,kha,production,62.4745277618775,81.33085289066972,35.84773898111048,1.3468803663423012,0.0
2012,kha,production,67.03991370010787,85.88187702265373,38.724919093851135,1.3532901833872708,0.0
2013,kha,production,72.44094488188978,86.08923884514437,39.89501312335958,1.5748031496062993,0.0
2014,kha,production,79.51097372488408,83.27233384853169,38.44945904173107,1.5672333848531685,0.0
2015,kha,production,86.47633316404267,78.25535804977146,38.29517521584561,1.873133570340274,0.0
2016,kha,production,87.88727460072127,74.94425553838228,38.098402885110765,1.6700669757856774,0.0
2017,kha,production,87.08885400313972,72.85117739403454,36.58147566718995,2.0784929356357926,0.0
2018,kha,production,92.86431513903192,68.27342945417095,37.87203913491246,2.4902162718846546,0.0
2019,kha,production,94.19865494050698,66.71971029487842,37.05494050698397,3.226694257630626,0.0
2020,kha,production,98.55832903558534,64.94234141309954,34.34450747808149,3.7466735430634346,0.20814853017019083
2021,kha,production,104.49816559246406,67.07372335151214,32.65567674764502,4.6650966782350025,0.2073376301437779
2022,kha,production,112.12373127114547,66.44369260512325,31.664572257129045,4.360367327211213,0.20763653939101015
2023,kha,production,112.04066193853429,68.44066193853428,32.46808510638298,4.844444444444445,0.20614657210401893
