YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,production,5.7,11.0,4.5,8.0,1.1
2000,kha,production,4.907063197026023,9.91635687732342,5.827137546468402,6.236059479553903,0.6133828996282528
2001,kha,production,5.481203007518797,7.206766917293233,6.8007518796992485,5.988721804511279,1.5225563909774438
2002,kha,production,4.550943396226415,6.97811320754717,7.48377358490566,5.86566037735849,1.921509433962264
2003,kha,production,5.974447949526814,9.113564668769715,8.708517350157729,5.569400630914826,2.734069400630915
2004,kha,production,7.134185303514378,8.15335463258786,8.662939297124602,4.993929712460064,2.955591054313099
2005,kha,production,7.507911392405062,7.302215189873417,9.050632911392405,5.0395569620253164,3.5996835443037973
2006,kha,production,8.351694915254237,8.764124293785311,9.795197740112993,5.980225988700566,3.6087570621468927
2007,kha,production,9.793539325842698,8.144101123595506,9.381179775280899,5.566853932584269,3.814325842696629
2008,kha,production,8.810975609756097,6.115853658536586,9.847560975609756,5.597560975609756,3.6280487804878048
2009,kha,production,8.189024390243903,5.597560975609756,10.676829268292682,5.804878048780488,3.731707317073171
2010,kha,production,8.388427299703263,5.592284866468843,10.77032640949555,5.385163204747775,4.763798219584569
2011,kha,production,7.799003322259136,5.095348837209302,9.670764119601328,4.159468438538206,4.575415282392027
2012,kha,production,8.765217391304349,5.739130434782609,9.495652173913044,4.8,4.8
2013,kha,production,9.529411764705882,6.458823529411765,8.470588235294118,5.4,4.341176470588235
2014,kha,production,9.497124600638978,6.40255591054313,7.896485623003195,5.015335463258786,4.58849840255591
2015,kha,production,9.886731391585759,6.62621359223301,7.257281553398059,4.733009708737864,3.9967637540453076
2016,kha,production,8.916666666666668,6.503921568627451,7.0284313725490195,5.140196078431372,4.51078431372549
2017,kha,production,8.673076923076923,7.298076923076923,6.5576923076923075,4.653846153846153,5.8173076923076925
2018,kha,production,8.877777777777776,6.997777777777777,6.3711111111111105,4.073333333333334,6.58
2019,kha,production,8.391176470588235,8.080392156862745,5.386928104575164,3.6258169934640527,6.215686274509805
2020,kha,production,7.780136986301369,8.305821917808219,4.520890410958904,3.469520547945206,6.623630136986302
2021,kha,production,8.098275862068967,9.255172413793103,3.786206896551724,2.839655172413793,6.520689655172414
2022,kha,production,8.172563176895308,9.340072202166064,3.820938628158845,2.6534296028880866,5.412996389891697
2023,kha,production,8.240989399293285,10.565371024734983,3.486572438162544,2.7469964664310953,4.860070671378092
