YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,production,57.835310297404156,80.15953240501977,171.8445934330411,156.26955475330925,137.8910091112257
2000,kha,production,51.87163507870222,80.35425634436234,178.89996787664631,173.59845807902346,162.47568262126566
2001,kha,production,47.012740023376196,89.8558356987811,174.49961596259809,162.61612957087993,150.31567874436467
2002,kha,production,43.020023878560465,87.39747569503666,167.27688896469385,162.36926488146,152.13634658024904
2003,kha,production,41.96597198496754,87.36836351212845,164.94813802528185,165.15640587632387,150.16112060129825
2004,kha,production,43.41779519679786,86.93970980653768,162.63452301534355,173.77530020013342,157.53267178118745
2005,kha,production,43.19187267185913,89.91385032170675,152.83278022350152,173.80575685743312,153.4557399254995
2006,kha,production,43.607816843826654,85.35558462796402,160.06755519215045,181.04477514309076,161.8242681929681
2007,kha,production,49.8017518939394,78.98166035353535,166.21205808080808,188.89608585858588,169.4084438131313
2008,kha,production,47.297148349887856,73.16116629285486,162.60326818327457,184.24248638256972,175.895930791413
2009,kha,production,45.371222672064775,76.95617813765182,158.95360323886638,180.2502995951417,173.7686963562753
2010,kha,production,47.297703957010256,74.29552190197036,158.0711936166748,173.83709493567824,179.29848558866632
2011,kha,production,48.31937774771728,66.90375380453162,144.95813324315185,175.9320933378424,174.48664186675686
2012,kha,production,47.41099431328623,66.16925728071686,137.80108564535584,177.68816129588143,169.0305014647596
2013,kha,production,53.63772557030984,64.6747191011236,137.18879809329246,184.018658495063,166.3800987402111
2014,kha,production,53.543323242515974,63.382038345105954,136.2920955264043,184.24288597376386,178.33965691220988
2015,kha,production,55.335541028728706,59.592121107861686,130.60433511095817,182.7214863237571,175.24651642869432
2016,kha,production,56.580371213447734,58.760532306075994,123.85391350026265,177.5274032568727,176.1777797233409
2017,kha,production,55.06299471092468,58.087287981032276,113.25456866678826,169.9861389750137,175.4090096662411
2018,kha,production,56.64989270386266,59.98837625178827,109.02235336194563,172.8708512160229,184.86852646638056
2019,kha,production,57.90647677793904,58.94983671988389,106.10970609579098,169.65032656023223,182.48365384615386
2020,kha,production,54.99540835528792,56.563718479488145,99.84907790741437,164.25434700790368,179.9374482499059
2021,kha,production,54.4722638074044,55.52385191179445,92.85522961764111,149.22035201294761,167.7283026502124
2022,kha,production,57.400842581175496,57.61148787505138,91.42005754212906,142.81750924784217,163.25010275380188
2023,kha,production,55.57062922297297,58.1110008445946,87.43112331081082,138.13270692567568,162.05453969594595
