YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,production,49.907327586206904,93.8043103448276,82.85689655172413,95.09224137931034,51.83922413793103
2000,kha,production,54.53072702331961,81.42112482853224,85.92071330589849,102.63347050754459,65.99396433470508
2001,kha,production,56.04174311926606,83.90310307609282,89.8582029141932,106.12838640043174,58.168564490016195
2002,kha,production,54.68948091183741,82.24619609997254,90.7251853886295,104.18558088437243,54.05355671518814
2003,kha,production,54.3875512995896,81.73912448700412,90.47058823529412,101.62161422708618,56.28112175102599
2004,kha,production,55.095831047723536,80.6535929786067,90.08063631376851,96.26058694459681,59.80935271530444
2005,kha,production,55.69661487236404,81.98041065482798,89.17716426193118,92.41048834628191,56.63532186459489
2006,kha,production,53.34186243985282,78.60356637418624,86.32821964336259,87.99841494480611,62.52793659779225
2007,kha,production,55.48309737070211,77.29875758451314,83.27708754695175,86.21381103727246,60.727246460560536
2008,kha,production,56.68175224833189,80.51987235277053,84.0161299680882,86.02912677690746,57.95311865390194
2009,kha,production,54.288002399520096,78.19172165566887,85.73467306538693,84.77852429514098,51.20707858428314
2010,kha,production,50.94724292101341,80.13576751117735,87.88399403874814,85.01821162444114,52.11478390461997
2011,kha,production,56.076792009400705,83.26230904817862,90.6183901292597,86.6738249118684,46.2686839012926
2012,kha,production,57.434175334323925,79.76968796433877,88.70389301634472,86.3639821693908,45.628261515601785
2013,kha,production,61.94918032786886,76.18792846497765,88.62026825633382,83.94485842026825,45.79776453055142
2014,kha,production,69.09175667993178,77.30173393973848,93.40181921546333,86.25807276861853,49.04661739624786
2015,kha,production,75.5985536018151,78.70828133862733,95.75816789563244,80.9601531480431,47.074844015882015
2016,kha,production,80.49237264283704,78.03377427526034,94.6025893611033,77.60619195046439,49.06507177033493
2017,kha,production,81.99723865877712,77.37616229923921,96.07540152155536,74.15215553677092,51.79904198365736
2018,kha,production,85.42542045767851,80.8838158257513,96.99569892473119,75.26087675765095,53.634188034188035
2019,kha,production,90.03271812080537,80.92097315436241,95.89026845637585,70.39907718120806,50.65696308724833
2020,kha,production,89.18229317851959,79.82365747460088,93.80656023222062,68.92359941944846,47.56388969521045
2021,kha,production,86.46766355140187,79.33747663551401,90.6552336448598,64.73757009345795,42.10205607476635
2022,kha,production,87.17860553963706,81.67258834765998,90.50515759312322,61.13973256924546,39.80391595033429
2023,kha,production,89.53548387096774,81.17419354838711,93.01935483870969,56.32258064516129,39.94838709677419
