YEAR,TYPE,AREA,UNIT
1999,production,0.0,kha
2000,production,0.0,kha
2001,production,0.0,kha
2002,production,0.0,kha
2003,production,0.0,kha
2004,production,0.0,kha
2005,production,0.0,kha
2006,production,0.0,kha
2007,production,0.0,kha
2008,production,0.0,kha
2009,production,0.0,kha
2010,production,0.0,kha
2011,production,0.0,kha
2012,production,0.0,kha
2013,production,0.0,kha
2014,production,32.1,kha
2015,production,34.0,kha
2016,production,34.3,kha
2017,production,38.9,kha
2018,production,38.4,kha
2019,production,34.9,kha
2020,production,34.0,kha
2021,production,30.2,kha
2022,production,34.5,kha
2023,production,0.0,kha
