YEAR,UNIT,TYPE,0...20,21...40,41...60,61...,regeneration cutting
1999,kha,protected,20.28,31.45,58.34,103.13,0.0
2000,kha,protected,18.19,28.06,48.11,115.54,0.0
2001,kha,protected,13.94,28.7,43.87,102.49,0.0
2002,kha,protected,11.49,27.71,43.61,105.08,0.0
2003,kha,protected,10.97,29.13,46.77,109.23,0.0
2004,kha,protected,10.61,31.01,52.23,119.65,0.0
2005,kha,protected,10.07,33.66,56.24,121.13,0.0
2006,kha,protected,9.89,31.5,58.0,122.12,0.0
2007,kha,protected,10.96,29.53,62.71,124.2,0.0
2008,kha,protected,10.84,27.75,59.95,124.06,0.0
2009,kha,protected,10.33,26.13,59.55,125.99,0.0
2010,kha,protected,10.03,21.98,56.11,124.08,0.0
2011,kha,protected,10.91,23.24,60.72,132.04,0.0
2012,kha,protected,11.01,27.67,62.01,142.41,0.0
2013,kha,protected,13.17,28.26,64.22,152.05,0.0
2014,kha,protected,12.54,28.82,61.79,156.05,0.0
2015,kha,protected,14.71,34.9,68.68,169.92,0.0
2016,kha,protected,16.65,41.11,73.9,183.23,0.0
2017,kha,protected,19.68,44.83,80.33,203.76,0.0
2018,kha,protected,17.55,40.35,72.54,177.56,0.0
2019,kha,protected,18.25,44.51,73.41,192.44,0.0
2020,kha,protected,20.46,46.39,74.04,204.61,0.0
2021,kha,protected,22.73,48.82,83.22,252.92,0.0
2022,kha,protected,25.23,47.51,81.49,267.57,0.0
2023,kha,protected,23.36,44.99,80.44,280.91,0.0
