YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,protected,1.1,0.0,6.9,5.6,0.0
2000,kha,protected,1.1,0.0,4.4,3.4,0.5
2001,kha,protected,0.8,0.0,3.8,3.1,0.3
2002,kha,protected,0.6176470588235294,0.0,3.5,2.5735294117647056,0.3088235294117647
2003,kha,protected,0.41403508771929826,0.0,3.2087719298245614,2.0701754385964914,0.20701754385964913
2004,kha,protected,0.20740740740740743,0.0,2.696296296296296,2.488888888888889,0.20740740740740743
2005,kha,protected,0.0,0.0,2.5943396226415096,2.9056603773584904,0.0
2006,kha,protected,0.0,0.0,2.69811320754717,2.80188679245283,0.0
2007,kha,protected,0.1,0.0,3.1999999999999997,3.2,0.2
2008,kha,protected,0.1,0.0,3.2,3.2,0.4
2009,kha,protected,0.10263157894736842,0.20526315789473684,3.5921052631578942,3.4894736842105267,0.4105263157894737
2010,kha,protected,0.10487804878048781,0.20975609756097563,3.880487804878049,3.9853658536585366,0.41951219512195126
2011,kha,protected,0.3131868131868132,0.2087912087912088,3.967032967032967,4.384615384615385,0.6263736263736264
2012,kha,protected,0.21149425287356324,0.21149425287356324,4.018390804597701,4.3356321839080465,0.4229885057471265
2013,kha,protected,0.7274509803921569,0.5196078431372549,4.1568627450980395,4.780392156862745,0.41568627450980394
2014,kha,protected,1.1431372549019607,0.20784313725490197,3.845098039215687,4.468627450980392,0.9352941176470589
2015,kha,protected,1.6123076923076924,0.4030769230769231,4.2323076923076925,5.542307692307692,1.31
2016,kha,protected,1.5425531914893618,0.6170212765957448,5.450354609929079,5.450354609929079,1.4397163120567376
2017,kha,protected,1.630188679245283,1.120754716981132,5.705660377358491,5.80754716981132,1.9358490566037738
2018,kha,protected,1.8573248407643312,1.0318471337579618,5.778343949044586,5.571974522292994,1.9605095541401274
2019,kha,protected,2.487804878048781,1.3475609756097562,5.079268292682927,6.115853658536585,1.9695121951219514
2020,kha,protected,2.6371951219512195,1.1603658536585366,5.27439024390244,6.01280487804878,2.2152439024390245
2021,kha,protected,3.2430769230769227,1.0461538461538462,4.498461538461539,8.16,3.452307692307692
2022,kha,protected,3.665236051502146,1.151931330472103,4.503004291845494,10.7862660944206,4.2935622317596565
2023,kha,protected,3.4077551020408166,1.2391836734693877,3.8208163265306125,10.946122448979592,5.8861224489795925
