YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,protected,9.902941176470588,9.902941176470588,22.52647058823529,9.46764705882353,0.0
2000,kha,protected,8.81767955801105,9.237569060773481,19.524861878453038,15.325966850828728,4.093922651933702
2001,kha,protected,6.630000000000001,7.998095238095238,15.890952380952381,10.944761904761904,2.736190476190476
2002,kha,protected,5.746462264150944,8.985377358490565,16.403537735849056,10.761556603773585,2.403066037735849
2003,kha,protected,6.158205689277899,8.87199124726477,17.74398249452954,12.316411378555799,2.6094091903719914
2004,kha,protected,6.043030303030303,8.603636363636364,18.53878787878788,14.441818181818181,3.0727272727272728
2005,kha,protected,5.611009174311927,9.181651376146789,20.811743119266055,15.404770642201836,4.590825688073394
2006,kha,protected,5.079225352112676,8.329929577464789,20.621654929577463,17.472535211267605,6.196654929577464
2007,kha,protected,5.259770114942529,7.485057471264368,23.36551724137931,19.117241379310343,6.372413793103448
2008,kha,protected,5.336177474402731,6.544368600682595,21.646757679180887,19.43174061433447,6.040955631399317
2009,kha,protected,4.9316129032258065,6.743225806451613,21.73935483870968,21.638709677419357,7.347096774193549
2010,kha,protected,4.639655172413793,4.74051724137931,19.768965517241377,22.391379310344824,6.959482758620689
2011,kha,protected,5.534700315457414,5.73596214511041,23.346372239747637,22.943848580441642,6.239116719242903
2012,kha,protected,5.449465648854963,7.770534351145038,21.898778625954197,24.421679389312978,6.5595419847328245
2013,kha,protected,5.431718061674008,8.549926578560939,21.726872246696036,24.241556534508078,8.549926578560939
2014,kha,protected,4.844651162790698,9.386511627906977,20.690697674418605,22.406511627906976,7.771627906976745
2015,kha,protected,5.458299595141701,12.83711201079622,22.945074224021592,23.04615384615385,10.61336032388664
2016,kha,protected,5.568922305764411,15.49172932330827,22.680701754385964,25.009523809523813,12.049122807017543
2017,kha,protected,6.271100917431193,16.689220183486242,25.387844036697246,27.714220183486233,12.137614678899084
2018,kha,protected,5.753846153846154,14.233198380566801,22.207827260458842,22.409716599190283,10.195411605937922
2019,kha,protected,5.762106537530267,17.892857142857142,22.846246973365616,25.47457627118644,11.524213075060533
2020,kha,protected,6.1001191895113225,17.79201430274136,22.26543504171633,25.620500595947554,13.52193087008343
2021,kha,protected,7.021680497925311,18.72448132780083,24.830290456431534,30.732572614107884,16.79097510373444
2022,kha,protected,7.854773869346735,18.463819095477387,24.38040201005025,32.13316582914573,18.6678391959799
2023,kha,protected,7.2381322957198435,18.146303501945525,24.059143968871595,35.17120622568093,20.1852140077821
