YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,protected,3.033333333333333,2.491666666666667,6.283333333333333,2.491666666666667,0.0
2000,kha,protected,1.6071428571428572,1.2857142857142856,2.8928571428571432,1.7142857142857144,0.0
2001,kha,protected,1.1846153846153846,0.8615384615384616,1.9384615384615385,1.1846153846153846,0.4307692307692308
2002,kha,protected,0.86,0.5375000000000001,1.3975,1.1825,0.3225
2003,kha,protected,0.6260869565217391,1.0434782608695652,1.356521739130435,1.3565217391304347,0.4173913043478261
2004,kha,protected,0.3082191780821918,1.7465753424657535,2.5684931506849313,2.4657534246575343,0.4109589041095891
2005,kha,protected,0.3074074074074074,2.35679012345679,2.5617283950617287,2.4592592592592593,0.6148148148148148
2006,kha,protected,0.20697674418604653,2.7941860465116277,2.794186046511628,2.587209302325581,0.5174418604651163
2007,kha,protected,0.20404040404040405,2.8565656565656563,3.8767676767676766,2.7545454545454544,0.4080808080808081
2008,kha,protected,0.20400000000000001,3.162,4.1819999999999995,2.346,0.306
2009,kha,protected,0.41000000000000003,2.46,3.28,1.435,0.615
2010,kha,protected,0.5123456790123457,1.9469135802469135,3.58641975308642,1.6395061728395062,0.6148148148148148
2011,kha,protected,0.5119047619047619,1.7404761904761907,4.095238095238095,1.2285714285714286,1.023809523809524
2012,kha,protected,0.40761904761904766,2.241904761904762,5.095238095238095,1.4266666666666667,1.528571428571429
2013,kha,protected,0.40740740740740744,1.6296296296296295,4.9907407407407405,2.1388888888888893,1.8333333333333333
2014,kha,protected,0.2,1.9,4.4,3.0999999999999996,2.2
2015,kha,protected,0.6,2.5,4.7,3.2,2.2
2016,kha,protected,0.7,3.0999999999999996,5.9,4.2,2.7
2017,kha,protected,0.9056603773584906,3.3207547169811322,4.930817610062894,4.427672955974844,2.415094339622642
2018,kha,protected,0.7999999999999999,2.8,4.4,3.2,2.2
2019,kha,protected,1.0070921985815602,3.222695035460993,4.6326241134751776,3.2226950354609927,2.1148936170212767
2020,kha,protected,0.8107382550335571,3.242953020134228,5.168456375838926,3.546979865771812,2.3308724832214764
2021,kha,protected,1.6195121951219513,2.631707317073171,6.1743902439024385,3.5426829268292686,2.631707317073171
2022,kha,protected,2.0,2.4,6.5,4.8,3.8
2023,kha,protected,2.0,2.4,6.4,5.7,4.4
