YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,protected,0.2,1.6,0.0,0.0,0.0
2000,kha,protected,0.7,2.1,0.5,0.0,0.0
2001,kha,protected,0.5,2.2,1.9,0.0,0.0
2002,kha,protected,0.3,2.4,1.3,0.0,0.0
2003,kha,protected,0.2,2.5999999999999996,1.1,0.0,0.0
2004,kha,protected,0.4,2.8,1.3,0.2,0.0
2005,kha,protected,0.2,3.1,1.4,0.2,0.0
2006,kha,protected,0.4,2.9000000000000004,1.2,0.2,0.0
2007,kha,protected,0.7,2.3,1.5,0.2,0.0
2008,kha,protected,0.8,1.7000000000000002,1.5,0.2,0.0
2009,kha,protected,0.9,1.4,1.5,0.0,0.0
2010,kha,protected,0.9,0.8,1.7,0.0,0.0
2011,kha,protected,0.7,0.7,1.7000000000000002,0.0,0.0
2012,kha,protected,1.2,0.8,1.5,0.0,0.0
2013,kha,protected,1.8367346938775513,1.6326530612244898,1.5306122448979593,0.0,0.0
2014,kha,protected,1.53,2.142,1.428,0.0,0.0
2015,kha,protected,1.5294117647058822,2.243137254901961,1.427450980392157,0.0,0.0
2016,kha,protected,1.7303571428571427,2.748214285714286,1.2214285714285715,0.0,0.0
2017,kha,protected,1.8285714285714285,2.946031746031746,1.6253968253968254,0.0,0.0
2018,kha,protected,2.2,3.1,1.8,0.0,0.0
2019,kha,protected,2.2293333333333334,3.3440000000000003,1.8239999999999998,0.2026666666666667,0.0
2020,kha,protected,2.2261904761904763,3.845238095238095,2.125,0.30357142857142855,0.0
2021,kha,protected,1.9391752577319585,4.28659793814433,2.8577319587628867,0.8164948453608248,0.0
2022,kha,protected,2.6661016949152545,5.332203389830508,3.3838983050847453,0.7177966101694915,0.0
2023,kha,protected,2.420689655172414,4.841379310344827,3.6310344827586207,0.806896551724138,0.0
