YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,protected,1.1,0.0,1.2,3.4,1.2
2000,kha,protected,0.6,0.0,1.6,2.9,0.5
2001,kha,protected,0.4,0.0,1.9,1.9,0.7
2002,kha,protected,0.3,0.0,1.3,1.5999999999999999,1.5999999999999999
2003,kha,protected,0.2,0.2,1.3,1.9,1.2000000000000002
2004,kha,protected,0.0,0.2,1.8,1.6,1.2
2005,kha,protected,0.0,0.3,1.2999999999999998,1.1,1.2
2006,kha,protected,0.0,0.2,1.0,1.0,1.0
2007,kha,protected,0.2,0.4,1.0,1.0,0.8
2008,kha,protected,0.2,0.2,1.0,0.4,1.2
2009,kha,protected,0.2,0.2,0.4,0.2,1.5
2010,kha,protected,0.2,0.2,0.4,0.2,1.4
2011,kha,protected,0.3,0.4,1.0,0.2,1.6
2012,kha,protected,0.2,0.3,1.0,0.2,1.9000000000000001
2013,kha,protected,0.2,0.3,0.7,0.4,2.3
2014,kha,protected,0.2,0.4,0.8,1.1,2.4000000000000004
2015,kha,protected,0.2,0.4,0.8,1.0,2.3
2016,kha,protected,0.2,0.3,0.7,1.5,2.7
2017,kha,protected,0.4,0.3,0.9,1.5,2.5999999999999996
2018,kha,protected,0.1,0.4,0.8,1.2999999999999998,1.5
2019,kha,protected,0.3,0.2,0.8,0.7,2.1999999999999997
2020,kha,protected,0.3,0.2,0.8,0.8,2.3
2021,kha,protected,0.3,0.30000000000000004,0.7999999999999999,1.0,2.4
2022,kha,protected,0.4,0.6,0.7,1.7999999999999998,2.8
2023,kha,protected,0.2,0.5,0.5,2.0,3.0
