YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,protected,2.9135640785781103,10.54911131898971,20.69635173058934,31.24546304957905,41.9955098222638
2000,kha,protected,4.353187440532826,10.123691722169362,16.50161750713606,29.561179828734538,45.86032350142721
2001,kha,protected,3.442787996127783,13.2648596321394,16.606389157792837,26.5297192642788,44.756243949661176
2002,kha,protected,2.8326848249027234,11.83657587548638,16.28793774319066,28.22568093385214,44.81712062256809
2003,kha,protected,2.4359214218896166,12.382600561272216,18.675397567820394,28.013096351730592,46.99298409728719
2004,kha,protected,2.537444933920705,13.49920704845815,20.80704845814978,27.50590308370044,50.85039647577092
2005,kha,protected,2.12734375,14.384895833333333,22.894270833333334,25.629427083333333,51.6640625
2006,kha,protected,2.3386725663716814,13.52362831858407,24.301858407079646,23.28504424778761,51.450796460176996
2007,kha,protected,2.4397212543554008,13.215156794425088,24.80383275261324,22.36411149825784,53.87717770034843
2008,kha,protected,2.7403339191564147,12.483743409490335,23.648066783831283,21.110720562390156,55.51713532513181
2009,kha,protected,2.332309043020193,11.255926251097454,24.94556628621598,24.641352063213347,52.32484635645302
2010,kha,protected,2.126727272727273,10.228545454545454,22.98890909090909,24.508000000000003,51.54781818181818
2011,kha,protected,1.9199649737302977,9.801926444833626,22.332224168126093,30.012084063047283,51.33380035026269
2012,kha,protected,1.9186122448979592,10.905795918367348,23.629224489795916,32.41444897959184,54.83191836734693
2013,kha,protected,1.9180808881839808,10.29706582077716,24.733148295003964,34.72735923869944,55.62434575733545
2014,kha,protected,1.7134069400630916,10.179652996845427,22.475867507886434,31.244479495268138,62.18659305993691
2015,kha,protected,1.817371937639198,11.510022271714924,24.73645137342242,33.11655530809206,64.8195991091314
2016,kha,protected,2.522919605077574,11.504513399153739,26.036530324400562,34.2107898448519,68.82524682651622
2017,kha,protected,3.329111531190926,11.904095778197856,29.356710775047258,38.83963453056081,76.67044738500314
2018,kha,protected,2.7167701863354035,11.57142857142857,26.46335403726708,34.2111801242236,70.83726708074535
2019,kha,protected,2.6245283018867926,10.09433962264151,25.841509433962266,36.238679245283016,75.0009433962264
2020,kha,protected,3.122128487994809,9.467099286177806,24.674886437378326,36.861258922777424,81.07462686567163
2021,kha,protected,3.2341880341880342,11.117521367521368,27.894871794871797,45.986111111111114,100.9673076923077
2022,kha,protected,3.7605596620908135,9.7571277719113,25.612460401267157,43.90707497360084,109.46277719112987
2023,kha,protected,3.2482579303172128,8.932709308372335,25.47852314092564,44.15600624024961,113.3845033801352
