YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,protected,2.6656626506024095,7.357228915662651,1.5993975903614457,3.5186746987951807,2.559036144578313
2000,kha,protected,1.2676923076923077,5.598974358974359,2.5353846153846153,4.225641025641026,6.972307692307693
2001,kha,protected,1.1466666666666667,4.378181818181819,2.1890909090909094,3.4400000000000004,6.046060606060606
2002,kha,protected,0.9543956043956043,4.135714285714286,3.2873626373626372,4.135714285714286,6.786813186813186
2003,kha,protected,0.8375,3.9781250000000004,3.4546875,4.606249999999999,7.2234375
2004,kha,protected,1.348148148148148,4.044444444444444,4.874074074074073,5.807407407407407,9.125925925925927
2005,kha,protected,2.046153846153846,4.194615384615385,4.808461538461538,6.036153846153846,9.514615384615386
2006,kha,protected,1.8703124999999998,3.5328125000000004,5.403125,6.546093750000001,9.24765625
2007,kha,protected,1.8376569037656905,3.573221757322176,4.900418410041841,5.51297071129707,8.575732217573222
2008,kha,protected,1.9405982905982904,3.6769230769230767,4.698290598290598,5.1068376068376065,8.477350427350427
2009,kha,protected,1.3185714285714285,3.7528571428571427,4.057142857142857,3.7528571428571427,8.418571428571429
2010,kha,protected,1.6238805970149255,4.059701492537314,3.9582089552238804,3.2477611940298505,7.51044776119403
2011,kha,protected,1.7000000000000002,4.7,3.8,3.6999999999999997,8.399999999999999
2012,kha,protected,1.6,5.5,5.1,5.300000000000001,9.200000000000001
2013,kha,protected,2.5735294117647056,5.455882352941177,6.279411764705883,7.617647058823529,9.573529411764707
2014,kha,protected,2.977910447761194,4.620895522388059,8.420298507462686,7.496119402985075,10.884776119402986
2015,kha,protected,3.6603053435114505,5.438167938931298,9.830534351145038,9.203053435114503,12.967938931297711
2016,kha,protected,4.275213675213676,7.507692307692308,11.782905982905984,10.531623931623932,14.702564102564104
2017,kha,protected,5.503846153846154,8.930769230769231,12.669230769230769,12.253846153846155,17.342307692307692
2018,kha,protected,4.346739130434782,7.177173913043478,11.119565217391305,9.603260869565219,14.253260869565217
2019,kha,protected,4.409607843137255,8.306470588235294,12.408431372549021,11.07529411764706,16.100196078431374
2020,kha,protected,5.270868824531516,10.744463373083475,13.785349233390118,11.555366269165248,18.143952299829643
2021,kha,protected,5.480357142857143,10.65625,15.933630952380954,12.7875,23.342261904761905
2022,kha,protected,5.16286594761171,9.718335901386748,16.500924499229583,12.350385208012327,21.967488443759635
2023,kha,protected,4.7512461059190025,9.098130841121495,16.37663551401869,11.62538940809969,23.048598130841125
