YEAR,TYPE,AREA,UNIT
1999,protected,0.0,kha
2000,protected,0.0,kha
2001,protected,0.0,kha
2002,protected,0.0,kha
2003,protected,0.0,kha
2004,protected,0.0,kha
2005,protected,0.0,kha
2006,protected,0.0,kha
2007,protected,0.0,kha
2008,protected,0.0,kha
2009,protected,0.0,kha
2010,protected,0.0,kha
2011,protected,0.0,kha
2012,protected,0.0,kha
2013,protected,0.0,kha
2014,protected,0.0,kha
2015,protected,0.0,kha
2016,protected,0.0,kha
2017,protected,0.0,kha
2018,protected,0.0,kha
2019,protected,0.0,kha
2020,protected,0.0,kha
2021,protected,0.0,kha
2022,protected,0.0,kha
2023,protected,0.0,kha
