Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;132,9
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;123,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;121,5
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;124,2
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;127,7
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;127,1
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;124,1
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;124,7
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;121,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;120,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;120,9
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;123,6
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;129,5
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;129,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;128,5
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;131,0
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;134,5
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;138,3
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;143,6
