Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;119,2
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;114,0
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;113,6
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;117,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;121,6
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;121,5
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;118,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;119,2
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;114,3
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;113,8
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;113,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;115,1
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;120,0
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;120,2
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;118,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;120,5
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;121,4
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;124,1
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;127,6
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;129,9
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;132,0
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;134,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;128,3
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;125,6
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;27.02.2025 13:21:59;127,3
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;27.02.2025 13:21:59;
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
