Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;660,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;680,2
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;688,6
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;691,6
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;700,9
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;699,9
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;702,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;687,6
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;681,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;670,7
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;677,5
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;681,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;700,5
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;701,9
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;697,5
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;689,9
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;691,9
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;681,7
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;687,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;683,5
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;683,1
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;683,9
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;686,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;686,5
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;696,8
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;0,4
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;0,3
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;0,3
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;0,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;0,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;0,0
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;0,0
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;0,0
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;27.02.2025 13:21:59;0,0
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;0,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;0,4
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;0,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;0,4
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;0,4
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;0,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;0,4
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;0,4
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;0,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;0,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;0,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;0,3
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;0,3
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;27.02.2025 13:21:59;0,3
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;0,3
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;0,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;0,2
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;0,4
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;0,5
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;0,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;0,2
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;0,4
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;0,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;0,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;0,7
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;0,7
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;0,4
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;0,9
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;1,0
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;1,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;1,1
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;1,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;1,3
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;1,1
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;1,1
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;27.02.2025 13:21:59;1,2
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;1,7
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;1,2
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;0,9
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;0,9
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;0,9
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;1,1
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;2,1
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;2,3
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;2,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;2,3
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;2,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;1,9
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;1,7
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;2,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;1,9
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;2,1
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;1,9
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;2,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;1,8
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;2,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;3,8
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;4,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;4,3
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;27.02.2025 13:21:59;5,1
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;1,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;4,5
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;4,1
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;3,8
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;3,3
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;3,7
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;3,7
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;4,7
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;5,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;6,4
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;7,6
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;8,8
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;9,0
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;8,2
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;9,0
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;8,2
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;8,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;8,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;8,6
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;8,5
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;9,4
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;9,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;9,6
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;10,6
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;27.02.2025 13:21:59;11,1
