Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;608,2
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;623,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;644,3
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;647,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;653,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;649,4
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;647,3
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;630,0
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;619,3
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;611,7
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;615,1
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;622,9
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;636,6
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;635,7
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;629,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;624,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;617,1
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;600,8
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;598,9
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;608,5
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;599,6
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;598,7
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;588,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;585,0
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;27.02.2025 13:21:59;591,8
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;27.02.2025 13:21:59;
