Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;60,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;63,4
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;65,6
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;61,2
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;66,4
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;69,4
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;68,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;66,2
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;68,9
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;68,7
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;70,5
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;71,8
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;74,4
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;78,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;78,0
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;75,5
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;78,3
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;82,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;86,8
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;88,5
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;91,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;95,1
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;95,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;95,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;97,6
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;
