Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;45,9
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;55,7
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;60,1
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;56,8
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;61,4
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;61,7
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;59,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;57,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;58,8
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;58,6
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;62,0
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;63,7
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;65,8
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;67,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;66,9
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;63,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;65,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;66,2
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;71,1
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;75,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;77,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;80,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;78,9
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;76,0
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;27.02.2025 13:21:59;76,7
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;27.02.2025 13:21:59;
