Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;200,0
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;178,3
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;187,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;185,2
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;200,7
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;202,4
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;207,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;208,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;196,3
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;184,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;184,7
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;187,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;184,2
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;196,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;205,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;207,8
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;210,0
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;208,4
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;205,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;208,4
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;208,7
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;210,1
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;219,0
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;226,8
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;229,8
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;27.02.2025 13:21:59;
