Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;198,2
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;174,9
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;182,9
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;181,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;196,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;197,6
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;202,2
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;203,8
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;191,7
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;179,9
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;181,0
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;184,1
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;181,1
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;193,1
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;200,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;202,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;204,8
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;27.02.2025 13:21:59;202,7
