Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;30,4
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;27,4
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;27,1
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;26,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;32,1
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;32,0
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;32,5
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;36,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;36,8
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;34,0
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;34,0
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;34,8
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;31,2
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;33,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;34,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;33,3
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;32,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27.02.2025 13:21:59;32,1
