Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;711,3
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;753,8
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;729,0
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;716,2
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;718,0
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;739,6
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;729,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;746,8
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;769,9
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;758,7
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;750,8
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;744,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;726,1
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;721,9
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;733,4
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;743,6
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;739,7
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;736,1
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;731,9
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;729,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;725,0
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;710,7
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;709,1
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;705,1
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;696,3
