Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;604,1
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;647,2
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;624,3
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;612,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;609,8
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;624,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;613,3
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;631,8
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;653,4
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;643,3
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;635,3
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;632,9
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;610,3
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;598,2
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;606,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;615,6
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;603,4
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;592,9
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;571,9
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;583,3
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;575,1
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;555,5
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;519,8
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;512,3
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;27.02.2025 13:21:59;501,3
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;5,5
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;9,0
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;7,2
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;7,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;6,8
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;6,7
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;6,2
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;6,7
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;7,5
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;7,6
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;7,1
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;6,9
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;7,4
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;6,5
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;6,8
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;7,6
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;7,6
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;7,2
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;7,3
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;8,7
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;9,8
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;10,4
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;9,5
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;9,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;27.02.2025 13:21:59;10,6
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;2,2
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;1,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;2,4
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;2,6
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;3,6
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;3,5
