Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;391,0
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;411,0
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;411,3
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;405,0
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;404,7
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;407,0
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;402,4
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;395,3
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;387,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;389,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;375,8
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;376,6
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;385,2
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;384,6
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;388,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;409,6
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;419,0
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;428,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;438,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;438,7
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;440,1
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;438,9
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;431,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;426,0
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;425,0
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,6
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,9
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,7
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,9
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,9
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,3
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,7
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,9
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,9
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,7
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,7
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;2,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;2,2
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;2,9
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;2,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;2,5
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;2,3
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;2,5
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,3
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,4
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,4
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,4
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,6
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,6
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,8
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;1,5
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;2,6
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;2,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;2,6
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;2,8
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;3,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;3,7
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;3,6
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;3,5
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;3,6
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,3
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,6
