Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;373,5
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;390,5
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;394,0
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;386,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;384,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;382,1
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;376,1
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;368,9
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;363,1
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;365,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;354,3
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;356,3
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;362,9
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;358,0
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;356,5
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;375,3
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;378,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;379,5
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;381,5
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;392,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;387,9
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;379,2
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;363,5
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;360,2
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;27.02.2025 13:21:59;359,8
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,4
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,4
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,4
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,6
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,6
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,6
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,8
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,2
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,2
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,0
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;1,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;27.02.2025 13:21:59;0,8
