Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;1 979,5
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 033,3
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 046,3
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 027,1
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 059,5
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 068,5
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 050,0
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 047,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 037,4
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 006,6
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;1 994,9
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 009,8
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 007,8
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 006,4
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 010,7
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 036,1
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 022,4
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;1 998,3
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;1 982,5
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 023,5
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;2 004,4
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;1 979,7
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;1 918,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;1 903,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;27.02.2025 13:21:59;1 904,6
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;5,5
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;9,0
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;7,2
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;7,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;7,3
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;7,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;6,6
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;7,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;8,2
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;8,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;7,9
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;8,2
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;8,6
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;7,5
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;7,8
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;8,4
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;8,1
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;7,8
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;8,3
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;9,7
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;11,1
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;11,6
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;10,5
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;10,0
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;27.02.2025 13:21:59;11,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;2,8
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;1,9
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;2,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;2,9
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;3,8
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;3,7
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;4,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;4,5
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;5,6
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;5,6
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;5,4
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;6,3
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;6,4
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;6,2
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;7,5
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;9,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;9,1
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;9,4
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;10,1
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;9,9
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;10,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;9,3
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;8,0
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;27.02.2025 13:21:59;8,4
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;3,9
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;3,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;3,9
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;5,2
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;5,4
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;6,8
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;9,7
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;11,8
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;11,9
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;14,0
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;14,1
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;15,3
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;14,2
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;14,3
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;12,9
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;12,0
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;8,4
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;7,1
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;7,9
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;9,8
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;11,5
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;11,3
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;10,6
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;9,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;8,4
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;20,5
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;25,2
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;22,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;20,5
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;19,4
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;18,5
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;16,3
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;17,1
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;17,6
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;18,6
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;19,1
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;18,2
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;15,1
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;15,1
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;15,8
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;16,5
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;18,4
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;20,3
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;20,4
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;22,0
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;23,8
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;23,6
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;22,0
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;21,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;21,1
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;28,8
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;25,7
