Omand;Raie aasta;Meetrik;Tüübi grupp;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
Kokku;2022;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;502,9
Kokku;2022;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;278,1
Kokku;2022;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;34,5
Kokku;2022;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;9 603,5
Kokku;2022;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;54,7
Kokku;2022;Väljaraie m³/ha;Uuendusraie;Turberaie;27.02.2025 17:44:12;173,2
Kokku;2022;Pindala (tuhat ha);Uuendusraie;Turberaie;27.02.2025 17:44:12;1,9
Kokku;2022;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;326,5
Kokku;2022;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;448,1
Kokku;2022;Väljaraie m³/ha;Uuendusraie;Lageraie;27.02.2025 17:44:12;284,2
Kokku;2022;Pindala (tuhat ha);Uuendusraie;Lageraie;27.02.2025 17:44:12;32,6
Kokku;2022;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;9 276,9
Kokku;2021;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;356,3
Kokku;2021;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;267,2
Kokku;2021;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;30,2
Kokku;2021;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;8 062,2
Kokku;2021;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;90,5
Kokku;2021;Väljaraie m³/ha;Uuendusraie;Turberaie;27.02.2025 17:44:12;142,1
Kokku;2021;Pindala (tuhat ha);Uuendusraie;Turberaie;27.02.2025 17:44:12;3,1
Kokku;2021;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;443,3
Kokku;2021;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;265,8
Kokku;2021;Väljaraie m³/ha;Uuendusraie;Lageraie;27.02.2025 17:44:12;281,6
Kokku;2021;Pindala (tuhat ha);Uuendusraie;Lageraie;27.02.2025 17:44:12;27,1
Kokku;2021;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;7 618,9
Kokku;2020;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;375,8
Kokku;2020;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;252,9
Kokku;2020;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;34,0
Kokku;2020;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;8 599,2
Kokku;2020;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;70,8
Kokku;2020;Väljaraie m³/ha;Uuendusraie;Turberaie;27.02.2025 17:44:12;136,7
Kokku;2020;Pindala (tuhat ha);Uuendusraie;Turberaie;27.02.2025 17:44:12;4,3
Kokku;2020;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;588,0
Kokku;2020;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;305,0
Kokku;2020;Väljaraie m³/ha;Uuendusraie;Lageraie;27.02.2025 17:44:12;269,7
Kokku;2020;Pindala (tuhat ha);Uuendusraie;Lageraie;27.02.2025 17:44:12;29,7
Kokku;2020;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;8 011,3
Kokku;2019;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;378,3
Kokku;2019;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;262,3
Kokku;2019;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;34,9
Kokku;2019;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;9 149,6
Kokku;2019;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;74,3
Kokku;2019;Väljaraie m³/ha;Uuendusraie;Turberaie;27.02.2025 17:44:12;155,7
Kokku;2019;Pindala (tuhat ha);Uuendusraie;Turberaie;27.02.2025 17:44:12;5,2
Kokku;2019;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;811,5
Kokku;2019;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;304,0
Kokku;2019;Väljaraie m³/ha;Uuendusraie;Lageraie;27.02.2025 17:44:12;281,0
Kokku;2019;Pindala (tuhat ha);Uuendusraie;Lageraie;27.02.2025 17:44:12;29,7
Kokku;2019;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;8 338,0
