YEAR,DOMINANT_SPECIES,AGE_GROUP,ECONOMIC_CATEGORY,AREA,UNIT
1999,aspen,...10,production_forest,4.9,kha
1999,aspen,101...110,production_forest,0.0,kha
1999,aspen,11...20,production_forest,4.4,kha
1999,aspen,111...120,production_forest,0.0,kha
1999,aspen,121...130,production_forest,0.0,kha
1999,aspen,131...140,production_forest,0.0,kha
1999,aspen,141...,production_forest,0.0,kha
1999,aspen,21...30,production_forest,7.4,kha
1999,aspen,31...40,production_forest,14.3,kha
1999,aspen,41...50,production_forest,25.8,kha
1999,aspen,51...60,production_forest,21.4,kha
1999,aspen,61...70,production_forest,12.7,kha
1999,aspen,71...80,production_forest,8.0,kha
1999,aspen,81...90,production_forest,5.7,kha
1999,aspen,91...100,production_forest,1.1,kha
1999,aspen,no_trees,production_forest,0.0,kha
1999,aspen,renewal_not_complete,production_forest,13.5,kha
1999,aspen,...10,protected_forest,0.0,kha
1999,aspen,101...110,protected_forest,0.0,kha
1999,aspen,11...20,protected_forest,0.0,kha
1999,aspen,111...120,protected_forest,0.0,kha
1999,aspen,121...130,protected_forest,0.0,kha
1999,aspen,131...140,protected_forest,0.0,kha
1999,aspen,141...,protected_forest,0.0,kha
1999,aspen,21...30,protected_forest,0.0,kha
1999,aspen,31...40,protected_forest,0.0,kha
1999,aspen,41...50,protected_forest,0.0,kha
1999,aspen,51...60,protected_forest,6.9,kha
1999,aspen,61...70,protected_forest,4.5,kha
1999,aspen,71...80,protected_forest,1.1,kha
1999,aspen,81...90,protected_forest,0.0,kha
1999,aspen,91...100,protected_forest,0.0,kha
1999,aspen,no_trees,protected_forest,1.1,kha
1999,aspen,renewal_not_complete,protected_forest,0.0,kha
1999,birch,...10,production_forest,60.0,kha
1999,birch,101...110,production_forest,0.0,kha
1999,birch,11...20,production_forest,31.2,kha
1999,birch,111...120,production_forest,0.0,kha
1999,birch,121...130,production_forest,0.0,kha
1999,birch,131...140,production_forest,0.0,kha
1999,birch,141...,production_forest,0.0,kha
1999,birch,21...30,production_forest,53.4,kha
1999,birch,31...40,production_forest,117.7,kha
1999,birch,41...50,production_forest,133.0,kha
1999,birch,51...60,production_forest,114.6,kha
1999,birch,61...70,production_forest,42.6,kha
1999,birch,71...80,production_forest,24.3,kha
1999,birch,81...90,production_forest,4.6,kha
1999,birch,91...100,production_forest,1.1,kha
1999,birch,no_trees,production_forest,13.9,kha
1999,birch,renewal_not_complete,production_forest,11.9,kha
1999,birch,...10,protected_forest,6.8,kha
1999,birch,101...110,protected_forest,0.0,kha
1999,birch,11...20,protected_forest,2.3,kha
1999,birch,111...120,protected_forest,0.0,kha
1999,birch,121...130,protected_forest,0.0,kha
1999,birch,131...140,protected_forest,0.0,kha
1999,birch,141...,protected_forest,0.0,kha
1999,birch,21...30,protected_forest,0.0,kha
1999,birch,31...40,protected_forest,9.1,kha
1999,birch,41...50,protected_forest,9.6,kha
1999,birch,51...60,protected_forest,11.1,kha
1999,birch,61...70,protected_forest,7.5,kha
1999,birch,71...80,protected_forest,1.2,kha
1999,birch,81...90,protected_forest,0.0,kha
1999,birch,91...100,protected_forest,0.0,kha
1999,birch,no_trees,protected_forest,0.0,kha
1999,birch,renewal_not_complete,protected_forest,4.2,kha
1999,black_alder,...10,production_forest,0.0,kha
1999,black_alder,101...110,production_forest,1.1,kha
1999,black_alder,11...20,production_forest,4.6,kha
1999,black_alder,111...120,production_forest,0.0,kha
1999,black_alder,121...130,production_forest,0.0,kha
1999,black_alder,131...140,production_forest,0.0,kha
1999,black_alder,141...,production_forest,0.0,kha
1999,black_alder,21...30,production_forest,0.5,kha
1999,black_alder,31...40,production_forest,13.6,kha
1999,black_alder,41...50,production_forest,12.7,kha
1999,black_alder,51...60,production_forest,7.6,kha
1999,black_alder,61...70,production_forest,2.4,kha
1999,black_alder,71...80,production_forest,1.0,kha
1999,black_alder,81...90,production_forest,0.0,kha
1999,black_alder,91...100,production_forest,0.0,kha
1999,black_alder,no_trees,production_forest,0.0,kha
1999,black_alder,renewal_not_complete,production_forest,2.3,kha
1999,black_alder,...10,protected_forest,0.0,kha
1999,black_alder,101...110,protected_forest,0.0,kha
1999,black_alder,11...20,protected_forest,2.8,kha
1999,black_alder,111...120,protected_forest,0.0,kha
1999,black_alder,121...130,protected_forest,0.0,kha
1999,black_alder,131...140,protected_forest,0.0,kha
1999,black_alder,141...,protected_forest,0.0,kha
1999,black_alder,21...30,protected_forest,1.1,kha
1999,black_alder,31...40,protected_forest,1.2,kha
1999,black_alder,41...50,protected_forest,2.3,kha
1999,black_alder,51...60,protected_forest,3.5,kha
1999,black_alder,61...70,protected_forest,1.2,kha
1999,black_alder,71...80,protected_forest,1.1,kha
1999,black_alder,81...90,protected_forest,0.0,kha
1999,black_alder,91...100,protected_forest,0.0,kha
1999,black_alder,no_trees,protected_forest,0.0,kha
1999,black_alder,renewal_not_complete,protected_forest,1.1,kha
1999,grey_alder,...10,production_forest,22.1,kha
1999,grey_alder,101...110,production_forest,0.0,kha
1999,grey_alder,11...20,production_forest,20.9,kha
1999,grey_alder,111...120,production_forest,0.0,kha
1999,grey_alder,121...130,production_forest,0.0,kha
1999,grey_alder,131...140,production_forest,0.0,kha
1999,grey_alder,141...,production_forest,0.0,kha
1999,grey_alder,21...30,production_forest,49.9,kha
1999,grey_alder,31...40,production_forest,61.2,kha
1999,grey_alder,41...50,production_forest,30.1,kha
1999,grey_alder,51...60,production_forest,8.0,kha
1999,grey_alder,61...70,production_forest,0.0,kha
1999,grey_alder,71...80,production_forest,0.0,kha
1999,grey_alder,81...90,production_forest,0.0,kha
1999,grey_alder,91...100,production_forest,0.0,kha
1999,grey_alder,no_trees,production_forest,2.0,kha
1999,grey_alder,renewal_not_complete,production_forest,4.0,kha
1999,grey_alder,...10,protected_forest,0.0,kha
1999,grey_alder,101...110,protected_forest,0.0,kha
1999,grey_alder,11...20,protected_forest,0.2,kha
1999,grey_alder,111...120,protected_forest,0.0,kha
1999,grey_alder,121...130,protected_forest,0.0,kha
1999,grey_alder,131...140,protected_forest,0.0,kha
1999,grey_alder,141...,protected_forest,0.0,kha
1999,grey_alder,21...30,protected_forest,1.6,kha
1999,grey_alder,31...40,protected_forest,0.0,kha
1999,grey_alder,41...50,protected_forest,0.0,kha
1999,grey_alder,51...60,protected_forest,0.0,kha
1999,grey_alder,61...70,protected_forest,0.0,kha
1999,grey_alder,71...80,protected_forest,0.0,kha
1999,grey_alder,81...90,protected_forest,0.0,kha
1999,grey_alder,91...100,protected_forest,0.0,kha
1999,grey_alder,no_trees,protected_forest,0.0,kha
1999,grey_alder,renewal_not_complete,protected_forest,0.0,kha
1999,other,...10,production_forest,3.6,kha
1999,other,101...110,production_forest,0.0,kha
1999,other,11...20,production_forest,2.1,kha
1999,other,111...120,production_forest,0.0,kha
1999,other,121...130,production_forest,0.0,kha
1999,other,131...140,production_forest,0.0,kha
1999,other,141...,production_forest,0.0,kha
1999,other,21...30,production_forest,4.1,kha
1999,other,31...40,production_forest,6.9,kha
1999,other,41...50,production_forest,3.4,kha
1999,other,51...60,production_forest,1.1,kha
1999,other,61...70,production_forest,3.4,kha
1999,other,71...80,production_forest,4.6,kha
1999,other,81...90,production_forest,0.0,kha
1999,other,91...100,production_forest,1.1,kha
1999,other,no_trees,production_forest,0.0,kha
1999,other,renewal_not_complete,production_forest,0.0,kha
1999,other,...10,protected_forest,0.0,kha
1999,other,101...110,protected_forest,0.0,kha
1999,other,11...20,protected_forest,0.0,kha
1999,other,111...120,protected_forest,0.0,kha
1999,other,121...130,protected_forest,0.0,kha
1999,other,131...140,protected_forest,0.0,kha
1999,other,141...,protected_forest,0.0,kha
1999,other,21...30,protected_forest,0.0,kha
1999,other,31...40,protected_forest,0.0,kha
1999,other,41...50,protected_forest,0.0,kha
1999,other,51...60,protected_forest,1.2,kha
1999,other,61...70,protected_forest,2.3,kha
1999,other,71...80,protected_forest,1.1,kha
1999,other,81...90,protected_forest,0.0,kha
1999,other,91...100,protected_forest,1.2,kha
1999,other,no_trees,protected_forest,1.1,kha
1999,other,renewal_not_complete,protected_forest,0.0,kha
1999,pine,...10,production_forest,12.0,kha
1999,pine,101...110,production_forest,18.5,kha
1999,pine,11...20,production_forest,33.6,kha
1999,pine,111...120,production_forest,15.9,kha
1999,pine,121...130,production_forest,3.9,kha
1999,pine,131...140,production_forest,0.0,kha
1999,pine,141...,production_forest,5.5,kha
1999,pine,21...30,production_forest,27.6,kha
1999,pine,31...40,production_forest,49.6,kha
1999,pine,41...50,production_forest,76.7,kha
1999,pine,51...60,production_forest,88.8,kha
1999,pine,61...70,production_forest,79.0,kha
1999,pine,71...80,production_forest,71.5,kha
1999,pine,81...90,production_forest,59.1,kha
1999,pine,91...100,production_forest,29.9,kha
1999,pine,no_trees,production_forest,10.1,kha
1999,pine,renewal_not_complete,production_forest,22.3,kha
1999,pine,...10,protected_forest,0.5,kha
1999,pine,101...110,protected_forest,4.6,kha
1999,pine,11...20,protected_forest,1.2,kha
1999,pine,111...120,protected_forest,3.5,kha
1999,pine,121...130,protected_forest,2.3,kha
1999,pine,131...140,protected_forest,5.2,kha
1999,pine,141...,protected_forest,4.9,kha
1999,pine,21...30,protected_forest,7.3,kha
1999,pine,31...40,protected_forest,3.2,kha
1999,pine,41...50,protected_forest,10.3,kha
1999,pine,51...60,protected_forest,10.3,kha
1999,pine,61...70,protected_forest,20.8,kha
1999,pine,71...80,protected_forest,10.3,kha
1999,pine,81...90,protected_forest,13.3,kha
1999,pine,91...100,protected_forest,8.0,kha
1999,pine,no_trees,protected_forest,1.2,kha
1999,pine,renewal_not_complete,protected_forest,0.5,kha
1999,spruce,...10,production_forest,1.1,kha
1999,spruce,101...110,production_forest,9.1,kha
1999,spruce,11...20,production_forest,22.7,kha
1999,spruce,111...120,production_forest,4.6,kha
1999,spruce,121...130,production_forest,0.0,kha
1999,spruce,131...140,production_forest,0.0,kha
1999,spruce,141...,production_forest,0.0,kha
1999,spruce,21...30,production_forest,43.2,kha
1999,spruce,31...40,production_forest,44.2,kha
1999,spruce,41...50,production_forest,31.7,kha
1999,spruce,51...60,production_forest,45.5,kha
1999,spruce,61...70,production_forest,53.2,kha
1999,spruce,71...80,production_forest,35.4,kha
1999,spruce,81...90,production_forest,23.1,kha
1999,spruce,91...100,production_forest,11.5,kha
1999,spruce,no_trees,production_forest,22.7,kha
1999,spruce,renewal_not_complete,production_forest,25.5,kha
1999,spruce,...10,protected_forest,0.7,kha
1999,spruce,101...110,protected_forest,1.2,kha
1999,spruce,11...20,protected_forest,1.8,kha
1999,spruce,111...120,protected_forest,0.0,kha
1999,spruce,121...130,protected_forest,0.0,kha
1999,spruce,131...140,protected_forest,0.0,kha
1999,spruce,141...,protected_forest,0.0,kha
1999,spruce,21...30,protected_forest,2.3,kha
1999,spruce,31...40,protected_forest,4.6,kha
1999,spruce,41...50,protected_forest,0.3,kha
1999,spruce,51...60,protected_forest,1.2,kha
1999,spruce,61...70,protected_forest,1.1,kha
1999,spruce,71...80,protected_forest,2.2,kha
1999,spruce,81...90,protected_forest,1.2,kha
1999,spruce,91...100,protected_forest,0.0,kha
1999,spruce,no_trees,protected_forest,0.0,kha
1999,spruce,renewal_not_complete,protected_forest,1.1,kha
2000,aspen,...10,production_forest,10.1,kha
2000,aspen,101...110,production_forest,0.0,kha
2000,aspen,11...20,production_forest,5.0,kha
2000,aspen,111...120,production_forest,0.6,kha
2000,aspen,121...130,production_forest,0.0,kha
2000,aspen,131...140,production_forest,0.0,kha
2000,aspen,141...,production_forest,0.0,kha
2000,aspen,21...30,production_forest,5.7,kha
2000,aspen,31...40,production_forest,9.8,kha
2000,aspen,41...50,production_forest,27.1,kha
2000,aspen,51...60,production_forest,24.4,kha
2000,aspen,61...70,production_forest,11.9,kha
2000,aspen,71...80,production_forest,7.1,kha
2000,aspen,81...90,production_forest,2.8,kha
2000,aspen,91...100,production_forest,0.6,kha
2000,aspen,no_trees,production_forest,0.6,kha
2000,aspen,renewal_not_complete,production_forest,8.5,kha
2000,aspen,...10,protected_forest,0.5,kha
2000,aspen,101...110,protected_forest,0.0,kha
2000,aspen,11...20,protected_forest,0.0,kha
2000,aspen,111...120,protected_forest,0.0,kha
2000,aspen,121...130,protected_forest,0.0,kha
2000,aspen,131...140,protected_forest,0.0,kha
2000,aspen,141...,protected_forest,0.0,kha
2000,aspen,21...30,protected_forest,0.0,kha
2000,aspen,31...40,protected_forest,0.0,kha
2000,aspen,41...50,protected_forest,0.0,kha
2000,aspen,51...60,protected_forest,4.4,kha
2000,aspen,61...70,protected_forest,2.8,kha
2000,aspen,71...80,protected_forest,0.6,kha
2000,aspen,81...90,protected_forest,0.0,kha
2000,aspen,91...100,protected_forest,0.5,kha
2000,aspen,no_trees,protected_forest,0.6,kha
2000,aspen,renewal_not_complete,protected_forest,0.0,kha
2000,birch,...10,production_forest,47.3,kha
2000,birch,101...110,production_forest,0.6,kha
2000,birch,11...20,production_forest,43.6,kha
2000,birch,111...120,production_forest,0.0,kha
2000,birch,121...130,production_forest,0.0,kha
2000,birch,131...140,production_forest,0.0,kha
2000,birch,141...,production_forest,0.0,kha
2000,birch,21...30,production_forest,54.5,kha
2000,birch,31...40,production_forest,104.5,kha
2000,birch,41...50,production_forest,124.7,kha
2000,birch,51...60,production_forest,111.7,kha
2000,birch,61...70,production_forest,63.2,kha
2000,birch,71...80,production_forest,26.3,kha
2000,birch,81...90,production_forest,10.4,kha
2000,birch,91...100,production_forest,2.8,kha
2000,birch,no_trees,production_forest,17.7,kha
2000,birch,renewal_not_complete,production_forest,16.0,kha
2000,birch,...10,protected_forest,6.2,kha
2000,birch,101...110,protected_forest,1.1,kha
2000,birch,11...20,protected_forest,1.6,kha
2000,birch,111...120,protected_forest,0.0,kha
2000,birch,121...130,protected_forest,0.0,kha
2000,birch,131...140,protected_forest,0.0,kha
2000,birch,141...,protected_forest,0.0,kha
2000,birch,21...30,protected_forest,1.8,kha
2000,birch,31...40,protected_forest,7.0,kha
2000,birch,41...50,protected_forest,8.1,kha
2000,birch,51...60,protected_forest,10.5,kha
2000,birch,61...70,protected_forest,10.6,kha
2000,birch,71...80,protected_forest,4.0,kha
2000,birch,81...90,protected_forest,1.1,kha
2000,birch,91...100,protected_forest,1.7,kha
2000,birch,no_trees,protected_forest,0.6,kha
2000,birch,renewal_not_complete,protected_forest,2.7,kha
2000,black_alder,...10,production_forest,0.7,kha
2000,black_alder,101...110,production_forest,0.6,kha
2000,black_alder,11...20,production_forest,3.6,kha
2000,black_alder,111...120,production_forest,0.6,kha
2000,black_alder,121...130,production_forest,0.0,kha
2000,black_alder,131...140,production_forest,0.0,kha
2000,black_alder,141...,production_forest,0.0,kha
2000,black_alder,21...30,production_forest,2.9,kha
2000,black_alder,31...40,production_forest,10.1,kha
2000,black_alder,41...50,production_forest,15.5,kha
2000,black_alder,51...60,production_forest,11.1,kha
2000,black_alder,61...70,production_forest,5.7,kha
2000,black_alder,71...80,production_forest,1.7,kha
2000,black_alder,81...90,production_forest,0.6,kha
2000,black_alder,91...100,production_forest,0.0,kha
2000,black_alder,no_trees,production_forest,1.1,kha
2000,black_alder,renewal_not_complete,production_forest,1.7,kha
2000,black_alder,...10,protected_forest,0.2,kha
2000,black_alder,101...110,protected_forest,0.0,kha
2000,black_alder,11...20,protected_forest,1.3,kha
2000,black_alder,111...120,protected_forest,0.0,kha
2000,black_alder,121...130,protected_forest,0.0,kha
2000,black_alder,131...140,protected_forest,0.0,kha
2000,black_alder,141...,protected_forest,0.0,kha
2000,black_alder,21...30,protected_forest,0.6,kha
2000,black_alder,31...40,protected_forest,0.6,kha
2000,black_alder,41...50,protected_forest,1.1,kha
2000,black_alder,51...60,protected_forest,1.6,kha
2000,black_alder,61...70,protected_forest,0.5,kha
2000,black_alder,71...80,protected_forest,1.1,kha
2000,black_alder,81...90,protected_forest,0.0,kha
2000,black_alder,91...100,protected_forest,0.0,kha
2000,black_alder,no_trees,protected_forest,0.0,kha
2000,black_alder,renewal_not_complete,protected_forest,0.5,kha
2000,grey_alder,...10,production_forest,17.0,kha
2000,grey_alder,101...110,production_forest,0.0,kha
2000,grey_alder,11...20,production_forest,23.9,kha
2000,grey_alder,111...120,production_forest,0.0,kha
2000,grey_alder,121...130,production_forest,0.0,kha
2000,grey_alder,131...140,production_forest,0.0,kha
2000,grey_alder,141...,production_forest,0.0,kha
2000,grey_alder,21...30,production_forest,44.8,kha
2000,grey_alder,31...40,production_forest,52.8,kha
2000,grey_alder,41...50,production_forest,23.5,kha
2000,grey_alder,51...60,production_forest,4.7,kha
2000,grey_alder,61...70,production_forest,0.0,kha
2000,grey_alder,71...80,production_forest,0.0,kha
2000,grey_alder,81...90,production_forest,0.0,kha
2000,grey_alder,91...100,production_forest,0.0,kha
2000,grey_alder,no_trees,production_forest,2.1,kha
2000,grey_alder,renewal_not_complete,production_forest,6.1,kha
2000,grey_alder,...10,protected_forest,0.0,kha
2000,grey_alder,101...110,protected_forest,0.0,kha
2000,grey_alder,11...20,protected_forest,0.7,kha
2000,grey_alder,111...120,protected_forest,0.0,kha
2000,grey_alder,121...130,protected_forest,0.0,kha
2000,grey_alder,131...140,protected_forest,0.0,kha
2000,grey_alder,141...,protected_forest,0.0,kha
2000,grey_alder,21...30,protected_forest,1.3,kha
2000,grey_alder,31...40,protected_forest,0.8,kha
2000,grey_alder,41...50,protected_forest,0.5,kha
2000,grey_alder,51...60,protected_forest,0.0,kha
2000,grey_alder,61...70,protected_forest,0.0,kha
2000,grey_alder,71...80,protected_forest,0.0,kha
2000,grey_alder,81...90,protected_forest,0.0,kha
2000,grey_alder,91...100,protected_forest,0.0,kha
2000,grey_alder,no_trees,protected_forest,0.0,kha
2000,grey_alder,renewal_not_complete,protected_forest,0.0,kha
2000,other,...10,production_forest,2.6,kha
2000,other,101...110,production_forest,0.0,kha
2000,other,11...20,production_forest,2.2,kha
2000,other,111...120,production_forest,0.0,kha
2000,other,121...130,production_forest,0.0,kha
2000,other,131...140,production_forest,0.0,kha
2000,other,141...,production_forest,0.0,kha
2000,other,21...30,production_forest,3.5,kha
2000,other,31...40,production_forest,6.2,kha
2000,other,41...50,production_forest,2.3,kha
2000,other,51...60,production_forest,3.4,kha
2000,other,61...70,production_forest,2.2,kha
2000,other,71...80,production_forest,3.9,kha
2000,other,81...90,production_forest,0.0,kha
2000,other,91...100,production_forest,0.6,kha
2000,other,no_trees,production_forest,0.0,kha
2000,other,renewal_not_complete,production_forest,0.6,kha
2000,other,...10,protected_forest,0.0,kha
2000,other,101...110,protected_forest,0.0,kha
2000,other,11...20,protected_forest,0.0,kha
2000,other,111...120,protected_forest,0.0,kha
2000,other,121...130,protected_forest,0.0,kha
2000,other,131...140,protected_forest,0.0,kha
2000,other,141...,protected_forest,0.0,kha
2000,other,21...30,protected_forest,0.0,kha
2000,other,31...40,protected_forest,0.0,kha
2000,other,41...50,protected_forest,0.0,kha
2000,other,51...60,protected_forest,1.6,kha
2000,other,61...70,protected_forest,2.3,kha
2000,other,71...80,protected_forest,0.6,kha
2000,other,81...90,protected_forest,0.0,kha
2000,other,91...100,protected_forest,0.5,kha
2000,other,no_trees,protected_forest,0.6,kha
2000,other,renewal_not_complete,protected_forest,0.0,kha
2000,pine,...10,production_forest,8.1,kha
2000,pine,101...110,production_forest,17.1,kha
2000,pine,11...20,production_forest,28.4,kha
2000,pine,111...120,production_forest,18.5,kha
2000,pine,121...130,production_forest,3.0,kha
2000,pine,131...140,production_forest,2.2,kha
2000,pine,141...,production_forest,9.0,kha
2000,pine,21...30,production_forest,25.5,kha
2000,pine,31...40,production_forest,51.8,kha
2000,pine,41...50,production_forest,81.9,kha
2000,pine,51...60,production_forest,90.2,kha
2000,pine,61...70,production_forest,86.2,kha
2000,pine,71...80,production_forest,80.8,kha
2000,pine,81...90,production_forest,64.0,kha
2000,pine,91...100,production_forest,42.5,kha
2000,pine,no_trees,production_forest,13.4,kha
2000,pine,renewal_not_complete,production_forest,24.6,kha
2000,pine,...10,protected_forest,0.8,kha
2000,pine,101...110,protected_forest,4.5,kha
2000,pine,11...20,protected_forest,2.4,kha
2000,pine,111...120,protected_forest,6.6,kha
2000,pine,121...130,protected_forest,4.5,kha
2000,pine,131...140,protected_forest,5.4,kha
2000,pine,141...,protected_forest,4.9,kha
2000,pine,21...30,protected_forest,5.8,kha
2000,pine,31...40,protected_forest,4.2,kha
2000,pine,41...50,protected_forest,10.7,kha
2000,pine,51...60,protected_forest,5.6,kha
2000,pine,61...70,protected_forest,17.5,kha
2000,pine,71...80,protected_forest,11.7,kha
2000,pine,81...90,protected_forest,12.7,kha
2000,pine,91...100,protected_forest,6.7,kha
2000,pine,no_trees,protected_forest,1.1,kha
2000,pine,renewal_not_complete,protected_forest,1.3,kha
2000,spruce,...10,production_forest,4.5,kha
2000,spruce,101...110,production_forest,7.4,kha
2000,spruce,11...20,production_forest,26.0,kha
2000,spruce,111...120,production_forest,5.6,kha
2000,spruce,121...130,production_forest,0.6,kha
2000,spruce,131...140,production_forest,0.6,kha
2000,spruce,141...,production_forest,0.0,kha
2000,spruce,21...30,production_forest,36.5,kha
2000,spruce,31...40,production_forest,39.5,kha
2000,spruce,41...50,production_forest,32.3,kha
2000,spruce,51...60,production_forest,47.9,kha
2000,spruce,61...70,production_forest,51.0,kha
2000,spruce,71...80,production_forest,44.8,kha
2000,spruce,81...90,production_forest,28.9,kha
2000,spruce,91...100,production_forest,18.5,kha
2000,spruce,no_trees,production_forest,20.4,kha
2000,spruce,renewal_not_complete,production_forest,26.0,kha
2000,spruce,...10,protected_forest,0.3,kha
2000,spruce,101...110,protected_forest,1.1,kha
2000,spruce,11...20,protected_forest,0.9,kha
2000,spruce,111...120,protected_forest,2.0,kha
2000,spruce,121...130,protected_forest,0.0,kha
2000,spruce,131...140,protected_forest,0.0,kha
2000,spruce,141...,protected_forest,0.6,kha
2000,spruce,21...30,protected_forest,2.8,kha
2000,spruce,31...40,protected_forest,2.5,kha
2000,spruce,41...50,protected_forest,1.3,kha
2000,spruce,51...60,protected_forest,1.1,kha
2000,spruce,61...70,protected_forest,2.3,kha
2000,spruce,71...80,protected_forest,1.7,kha
2000,spruce,81...90,protected_forest,2.3,kha
2000,spruce,91...100,protected_forest,0.6,kha
2000,spruce,no_trees,protected_forest,0.0,kha
2000,spruce,renewal_not_complete,protected_forest,1.1,kha
2001,aspen,...10,production_forest,8.7,kha
2001,aspen,101...110,production_forest,0.0,kha
2001,aspen,11...20,production_forest,3.9,kha
2001,aspen,111...120,production_forest,0.4,kha
2001,aspen,121...130,production_forest,0.0,kha
2001,aspen,131...140,production_forest,0.0,kha
2001,aspen,141...,production_forest,0.0,kha
2001,aspen,21...30,production_forest,5.7,kha
2001,aspen,31...40,production_forest,12.0,kha
2001,aspen,41...50,production_forest,26.8,kha
2001,aspen,51...60,production_forest,24.1,kha
2001,aspen,61...70,production_forest,11.1,kha
2001,aspen,71...80,production_forest,7.5,kha
2001,aspen,81...90,production_forest,2.8,kha
2001,aspen,91...100,production_forest,0.4,kha
2001,aspen,no_trees,production_forest,0.8,kha
2001,aspen,renewal_not_complete,production_forest,9.4,kha
2001,aspen,...10,protected_forest,0.4,kha
2001,aspen,101...110,protected_forest,0.0,kha
2001,aspen,11...20,protected_forest,0.0,kha
2001,aspen,111...120,protected_forest,0.0,kha
2001,aspen,121...130,protected_forest,0.0,kha
2001,aspen,131...140,protected_forest,0.0,kha
2001,aspen,141...,protected_forest,0.0,kha
2001,aspen,21...30,protected_forest,0.0,kha
2001,aspen,31...40,protected_forest,0.0,kha
2001,aspen,41...50,protected_forest,0.4,kha
2001,aspen,51...60,protected_forest,3.4,kha
2001,aspen,61...70,protected_forest,2.2,kha
2001,aspen,71...80,protected_forest,0.9,kha
2001,aspen,81...90,protected_forest,0.0,kha
2001,aspen,91...100,protected_forest,0.3,kha
2001,aspen,no_trees,protected_forest,0.4,kha
2001,aspen,renewal_not_complete,protected_forest,0.0,kha
2001,birch,...10,production_forest,41.1,kha
2001,birch,101...110,production_forest,0.4,kha
2001,birch,11...20,production_forest,46.6,kha
2001,birch,111...120,production_forest,0.0,kha
2001,birch,121...130,production_forest,0.0,kha
2001,birch,131...140,production_forest,0.0,kha
2001,birch,141...,production_forest,0.0,kha
2001,birch,21...30,production_forest,52.3,kha
2001,birch,31...40,production_forest,108.2,kha
2001,birch,41...50,production_forest,130.9,kha
2001,birch,51...60,production_forest,114.5,kha
2001,birch,61...70,production_forest,65.4,kha
2001,birch,71...80,production_forest,28.5,kha
2001,birch,81...90,production_forest,10.9,kha
2001,birch,91...100,production_forest,3.0,kha
2001,birch,no_trees,production_forest,22.8,kha
2001,birch,renewal_not_complete,production_forest,19.7,kha
2001,birch,...10,protected_forest,4.4,kha
2001,birch,101...110,protected_forest,0.8,kha
2001,birch,11...20,protected_forest,1.5,kha
2001,birch,111...120,protected_forest,0.0,kha
2001,birch,121...130,protected_forest,0.0,kha
2001,birch,131...140,protected_forest,0.0,kha
2001,birch,141...,protected_forest,0.0,kha
2001,birch,21...30,protected_forest,1.1,kha
2001,birch,31...40,protected_forest,6.5,kha
2001,birch,41...50,protected_forest,7.0,kha
2001,birch,51...60,protected_forest,8.1,kha
2001,birch,61...70,protected_forest,7.4,kha
2001,birch,71...80,protected_forest,3.0,kha
2001,birch,81...90,protected_forest,0.7,kha
2001,birch,91...100,protected_forest,1.1,kha
2001,birch,no_trees,protected_forest,0.4,kha
2001,birch,renewal_not_complete,protected_forest,2.2,kha
2001,black_alder,...10,production_forest,0.6,kha
2001,black_alder,101...110,production_forest,0.4,kha
2001,black_alder,11...20,production_forest,2.7,kha
2001,black_alder,111...120,production_forest,0.4,kha
2001,black_alder,121...130,production_forest,0.0,kha
2001,black_alder,131...140,production_forest,0.0,kha
2001,black_alder,141...,production_forest,0.0,kha
2001,black_alder,21...30,production_forest,3.6,kha
2001,black_alder,31...40,production_forest,11.5,kha
2001,black_alder,41...50,production_forest,14.7,kha
2001,black_alder,51...60,production_forest,13.4,kha
2001,black_alder,61...70,production_forest,5.0,kha
2001,black_alder,71...80,production_forest,2.6,kha
2001,black_alder,81...90,production_forest,1.5,kha
2001,black_alder,91...100,production_forest,0.7,kha
2001,black_alder,no_trees,production_forest,1.5,kha
2001,black_alder,renewal_not_complete,production_forest,1.5,kha
