YEAR,MANAGED_BY,ECONOMIC_CATEGORY,DOMINANT_SPECIES,QUALITY_CLASS,AREA,UNIT,RELATIVE_ERROR_PERCENT
1999,other,production_forest,aspen,1,23.956192761,kha,0.235871543
1999,other,production_forest,aspen,1A,20.921249008,kha,0.258743916
1999,other,production_forest,aspen,2,23.817643712,kha,0.261825538
1999,other,production_forest,aspen,3,4.568806221,kha,0.608803403
1999,other,production_forest,aspen,4,,kha,0.0
1999,other,production_forest,aspen,5,,kha,0.0
1999,other,production_forest,aspen,5A-5B,,kha,0.0
1999,other,production_forest,birch,1,85.089332846,kha,0.161693489
1999,other,production_forest,birch,1A,22.31770463,kha,0.2824686
1999,other,production_forest,birch,2,156.743862558,kha,0.128740531
1999,other,production_forest,birch,3,112.351856449,kha,0.157729851
1999,other,production_forest,birch,4,25.046538366,kha,0.275353291
1999,other,production_forest,birch,5,7.995410887,kha,0.423167694
1999,other,production_forest,birch,5A-5B,,kha,0.0
1999,other,production_forest,black_alder,1,6.853209332,kha,0.521846528
1999,other,production_forest,black_alder,1A,,kha,0.0
1999,other,production_forest,black_alder,2,19.550378702,kha,0.262121865
1999,other,production_forest,black_alder,3,3.718208723,kha,0.685033176
1999,other,production_forest,black_alder,4,0.918901151,kha,0.997093491
1999,other,production_forest,black_alder,5,,kha,0.0
1999,other,production_forest,black_alder,5A-5B,,kha,0.0
1999,other,production_forest,grey_alder,1,87.468652906,kha,0.174532561
1999,other,production_forest,grey_alder,1A,2.284403111,kha,0.703738004
1999,other,production_forest,grey_alder,2,86.240900454,kha,0.144859014
1999,other,production_forest,grey_alder,3,6.47719658,kha,0.382409607
1999,other,production_forest,grey_alder,4,,kha,0.0
1999,other,production_forest,grey_alder,5,,kha,0.0
1999,other,production_forest,grey_alder,5A-5B,,kha,0.0
1999,other,production_forest,other,1,7.076509736,kha,0.390108242
1999,other,production_forest,other,1A,1.142201555,kha,0.998147748
1999,other,production_forest,other,2,2.963784596,kha,0.576402267
1999,other,production_forest,other,3,7.995410887,kha,0.423433905
1999,other,production_forest,other,4,1.142201555,kha,0.998147748
1999,other,production_forest,other,5,1.142201555,kha,0.997884288
1999,other,production_forest,other,5A-5B,,kha,0.0
1999,other,production_forest,pine,1,65.383157852,kha,0.1906506
1999,other,production_forest,pine,1A,11.400313724,kha,0.317869434
1999,other,production_forest,pine,2,72.627571217,kha,0.154075738
1999,other,production_forest,pine,3,93.036428607,kha,0.182999605
1999,other,production_forest,pine,4,36.161644361,kha,0.232697976
1999,other,production_forest,pine,5,18.275224885,kha,0.368608435
1999,other,production_forest,pine,5A-5B,9.137612443,kha,0.555223426
1999,other,production_forest,spruce,1,94.2496751,kha,0.142190794
1999,other,production_forest,spruce,1A,33.175358395,kha,0.21317847
1999,other,production_forest,spruce,2,49.346762235,kha,0.204078777
1999,other,production_forest,spruce,3,11.77198611,kha,0.329949553
1999,other,production_forest,spruce,4,1.337860682,kha,0.864048739
1999,other,production_forest,spruce,5,,kha,0.0
1999,other,production_forest,spruce,5A-5B,,kha,0.0
1999,other,protected_forest,aspen,1,1.142201555,kha,0.997093491
1999,other,protected_forest,aspen,1A,,kha,0.0
1999,other,protected_forest,aspen,2,6.853209332,kha,0.846621659
1999,other,protected_forest,aspen,3,,kha,0.0
1999,other,protected_forest,aspen,4,,kha,0.0
1999,other,protected_forest,aspen,5,,kha,0.0
1999,other,protected_forest,aspen,5A-5B,,kha,0.0
1999,other,protected_forest,birch,1,2.968810283,kha,0.58598702
1999,other,protected_forest,birch,1A,,kha,0.0
1999,other,protected_forest,birch,2,5.711007777,kha,0.524439517
1999,other,protected_forest,birch,3,8.453205271,kha,0.445885783
1999,other,protected_forest,birch,4,1.142201555,kha,0.997093491
1999,other,protected_forest,birch,5,2.284403111,kha,0.703738004
1999,other,protected_forest,birch,5A-5B,,kha,0.0
1999,other,protected_forest,black_alder,1,1.142201555,kha,0.997093491
1999,other,protected_forest,black_alder,1A,,kha,0.0
1999,other,protected_forest,black_alder,2,2.284403111,kha,0.702990329
1999,other,protected_forest,black_alder,3,1.142201555,kha,0.998147748
1999,other,protected_forest,black_alder,4,2.284403111,kha,0.998147748
1999,other,protected_forest,black_alder,5,1.142201555,kha,0.998147748
1999,other,protected_forest,black_alder,5A-5B,,kha,0.0
1999,other,protected_forest,grey_alder,1,,kha,0.0
1999,other,protected_forest,grey_alder,1A,,kha,0.0
1999,other,protected_forest,grey_alder,2,0.965617195,kha,0.845692827
1999,other,protected_forest,grey_alder,3,,kha,0.0
1999,other,protected_forest,grey_alder,4,,kha,0.0
1999,other,protected_forest,grey_alder,5,,kha,0.0
1999,other,protected_forest,grey_alder,5A-5B,,kha,0.0
1999,other,protected_forest,pine,1,2.284403111,kha,0.703738022
1999,other,protected_forest,pine,1A,,kha,0.0
1999,other,protected_forest,pine,2,8.279590634,kha,0.556951679
1999,other,protected_forest,pine,3,15.990821775,kha,0.50109926
1999,other,protected_forest,pine,4,3.426604666,kha,0.572913544
1999,other,protected_forest,pine,5,5.711007777,kha,0.524038289
1999,other,protected_forest,pine,5A-5B,5.711007777,kha,0.660210745
1999,other,protected_forest,spruce,1,1.142201555,kha,0.997093517
1999,other,protected_forest,spruce,1A,0.338662761,kha,0.997093491
1999,other,protected_forest,spruce,2,2.284403111,kha,0.703738004
1999,other,protected_forest,spruce,3,1.142201555,kha,0.998147748
1999,other,protected_forest,spruce,4,,kha,0.0
1999,other,protected_forest,spruce,5,,kha,0.0
1999,other,protected_forest,spruce,5A-5B,,kha,0.0
1999,state_forest_management_centre,production_forest,aspen,1,19.0788779,kha,0.290256794
1999,state_forest_management_centre,production_forest,aspen,1A,7.710203159,kha,0.420728744
1999,state_forest_management_centre,production_forest,aspen,2,4.568806221,kha,0.703738004
1999,state_forest_management_centre,production_forest,aspen,3,1.142201555,kha,0.998147748
1999,state_forest_management_centre,production_forest,aspen,4,,kha,0.0
1999,state_forest_management_centre,production_forest,aspen,5,,kha,0.0
1999,state_forest_management_centre,production_forest,aspen,5A-5B,,kha,0.0
1999,state_forest_management_centre,production_forest,birch,1,50.071260682,kha,0.240896736
1999,state_forest_management_centre,production_forest,birch,1A,8.781816658,kha,0.471599158
1999,state_forest_management_centre,production_forest,birch,2,65.388183539,kha,0.207595316
1999,state_forest_management_centre,production_forest,birch,3,38.374317214,kha,0.19030954
1999,state_forest_management_centre,production_forest,birch,4,9.137612443,kha,0.427489389
1999,state_forest_management_centre,production_forest,birch,5,1.142201555,kha,0.998147748
1999,state_forest_management_centre,production_forest,birch,5A-5B,,kha,0.0
1999,state_forest_management_centre,production_forest,black_alder,1,1.142201555,kha,0.998147748
1999,state_forest_management_centre,production_forest,black_alder,1A,,kha,0.0
1999,state_forest_management_centre,production_forest,black_alder,2,9.137612443,kha,0.388888468
1999,state_forest_management_centre,production_forest,black_alder,3,1.142201555,kha,0.997093491
1999,state_forest_management_centre,production_forest,black_alder,4,1.142201555,kha,0.998147748
1999,state_forest_management_centre,production_forest,black_alder,5,,kha,0.0
1999,state_forest_management_centre,production_forest,black_alder,5A-5B,,kha,0.0
1999,state_forest_management_centre,production_forest,grey_alder,1,6.181252157,kha,0.415240778
1999,state_forest_management_centre,production_forest,grey_alder,1A,,kha,0.0
1999,state_forest_management_centre,production_forest,grey_alder,2,3.558414725,kha,0.516203309
1999,state_forest_management_centre,production_forest,grey_alder,3,,kha,0.0
1999,state_forest_management_centre,production_forest,grey_alder,4,,kha,0.0
1999,state_forest_management_centre,production_forest,grey_alder,5,,kha,0.0
1999,state_forest_management_centre,production_forest,grey_alder,5A-5B,,kha,0.0
1999,state_forest_management_centre,production_forest,other,1,2.110445814,kha,0.706208864
1999,state_forest_management_centre,production_forest,other,1A,2.284403111,kha,0.702990348
1999,state_forest_management_centre,production_forest,other,2,3.426604666,kha,0.742397007
1999,state_forest_management_centre,production_forest,other,3,1.142201555,kha,0.997093491
1999,state_forest_management_centre,production_forest,other,4,,kha,0.0
1999,state_forest_management_centre,production_forest,other,5,,kha,0.0
1999,state_forest_management_centre,production_forest,other,5A-5B,,kha,0.0
1999,state_forest_management_centre,production_forest,pine,1,44.29766026,kha,0.285058518
1999,state_forest_management_centre,production_forest,pine,1A,3.728260097,kha,0.531495356
1999,state_forest_management_centre,production_forest,pine,2,66.186011325,kha,0.204833161
1999,state_forest_management_centre,production_forest,pine,3,75.559259949,kha,0.208362375
1999,state_forest_management_centre,production_forest,pine,4,39.614748103,kha,0.237754038
1999,state_forest_management_centre,production_forest,pine,5,22.125243668,kha,0.307864552
1999,state_forest_management_centre,production_forest,pine,5A-5B,14.19539515,kha,0.397050971
1999,state_forest_management_centre,production_forest,spruce,1,59.559186342,kha,0.21481421
1999,state_forest_management_centre,production_forest,spruce,1A,23.479323612,kha,0.276105416
1999,state_forest_management_centre,production_forest,spruce,2,35.525323875,kha,0.232635837
1999,state_forest_management_centre,production_forest,spruce,3,11.749370519,kha,0.330448244
1999,state_forest_management_centre,production_forest,spruce,4,5.011180884,kha,0.542690963
1999,state_forest_management_centre,production_forest,spruce,5,,kha,0.0
1999,state_forest_management_centre,production_forest,spruce,5A-5B,,kha,0.0
1999,state_forest_management_centre,protected_forest,aspen,1,4.568806221,kha,0.787223795
1999,state_forest_management_centre,protected_forest,aspen,1A,,kha,0.0
1999,state_forest_management_centre,protected_forest,aspen,2,,kha,0.0
1999,state_forest_management_centre,protected_forest,aspen,3,,kha,0.0
1999,state_forest_management_centre,protected_forest,aspen,4,,kha,0.0
1999,state_forest_management_centre,protected_forest,aspen,5,,kha,0.0
1999,state_forest_management_centre,protected_forest,aspen,5A-5B,,kha,0.0
1999,state_forest_management_centre,protected_forest,birch,1,2.284403111,kha,0.703738004
1999,state_forest_management_centre,protected_forest,birch,1A,,kha,0.0
1999,state_forest_management_centre,protected_forest,birch,2,10.279813998,kha,0.504602113
1999,state_forest_management_centre,protected_forest,birch,3,6.523569963,kha,0.625817696
1999,state_forest_management_centre,protected_forest,birch,4,6.853209332,kha,0.465960103
1999,state_forest_management_centre,protected_forest,birch,5,1.142201555,kha,0.997093491
1999,state_forest_management_centre,protected_forest,birch,5A-5B,,kha,0.0
1999,state_forest_management_centre,protected_forest,black_alder,1,2.284403111,kha,0.998147748
1999,state_forest_management_centre,protected_forest,black_alder,1A,,kha,0.0
1999,state_forest_management_centre,protected_forest,black_alder,2,1.142201555,kha,0.997093491
1999,state_forest_management_centre,protected_forest,black_alder,3,0.507594371,kha,0.998147748
1999,state_forest_management_centre,protected_forest,black_alder,4,1.142201555,kha,0.998147748
