YEAR,SPECIES,QUALITY_CLASS,MATURITY_AGE
1993,pine,1A,90
1993,pine,1,90
1993,pine,2,100
1993,pine,3,120
1993,pine,4,130
1993,pine,5,140
1993,pine,5A,140
1993,spruce,1A,70
1993,spruce,1,80
1993,spruce,2,90
1993,spruce,3,100
1993,spruce,4,100
1993,spruce,5,100
1993,spruce,5A,100
1993,birch,1A,60
1993,birch,1,70
1993,birch,2,70
1993,birch,3,80
1993,birch,4,70
1993,birch,5,70
1993,birch,5A,70
1993,aspen,1A,50
1993,aspen,1,50
1993,aspen,2,50
1993,aspen,3,50
1993,aspen,4,50
1994,pine,1A,90
1994,pine,1,90
1994,pine,2,100
1994,pine,3,120
1994,pine,4,130
1994,pine,5,140
1994,pine,5A,140
1994,spruce,1A,70
1994,spruce,1,80
1994,spruce,2,90
1994,spruce,3,100
1994,spruce,4,100
1994,spruce,5,100
1994,spruce,5A,100
1994,birch,1A,60
1994,birch,1,70
1994,birch,2,70
1994,birch,3,80
1994,birch,4,70
1994,birch,5,70
1994,birch,5A,70
1994,aspen,1A,50
1994,aspen,1,50
1994,aspen,2,50
1994,aspen,3,50
1994,aspen,4,50
1995,pine,1A,90
1995,pine,1,90
1995,pine,2,100
1995,pine,3,120
1995,pine,4,130
1995,pine,5,140
1995,pine,5A,140
1995,spruce,1A,70
1995,spruce,1,80
1995,spruce,2,90
1995,spruce,3,100
1995,spruce,4,100
1995,spruce,5,100
1995,spruce,5A,100
1995,birch,1A,60
1995,birch,1,70
1995,birch,2,70
1995,birch,3,80
1995,birch,4,70
1995,birch,5,70
1995,birch,5A,70
1995,aspen,1A,50
1995,aspen,1,50
1995,aspen,2,50
1995,aspen,3,50
1995,aspen,4,50
1996,pine,1A,90
1996,pine,1,90
1996,pine,2,100
1996,pine,3,120
1996,pine,4,130
1996,pine,5,140
1996,pine,5A,140
1996,spruce,1A,70
1996,spruce,1,80
1996,spruce,2,90
1996,spruce,3,100
1996,spruce,4,100
1996,spruce,5,100
1996,spruce,5A,100
1996,birch,1A,60
1996,birch,1,70
1996,birch,2,70
1996,birch,3,80
1996,birch,4,70
1996,birch,5,70
1996,birch,5A,70
1996,aspen,1A,50
1996,aspen,1,50
1996,aspen,2,50
1996,aspen,3,50
1996,aspen,4,50
1997,pine,1A,90
1997,pine,1,90
1997,pine,2,100
1997,pine,3,120
1997,pine,4,130
1997,pine,5,140
1997,pine,5A,140
1997,spruce,1A,70
1997,spruce,1,80
1997,spruce,2,90
1997,spruce,3,100
1997,spruce,4,100
1997,spruce,5,100
1997,spruce,5A,100
1997,birch,1A,60
1997,birch,1,70
1997,birch,2,70
1997,birch,3,80
1997,birch,4,70
1997,birch,5,70
1997,birch,5A,70
1997,aspen,1A,50
1997,aspen,1,50
1997,aspen,2,50
1997,aspen,3,50
1997,aspen,4,50
1998,pine,1A,90
1998,pine,1,90
1998,pine,2,100
1998,pine,3,120
1998,pine,4,130
1998,pine,5,140
1998,pine,5A,140
1998,spruce,1A,70
1998,spruce,1,80
1998,spruce,2,90
1998,spruce,3,100
1998,spruce,4,100
1998,spruce,5,100
1998,spruce,5A,100
1998,birch,1A,60
1998,birch,1,70
1998,birch,2,70
1998,birch,3,80
1998,birch,4,70
1998,birch,5,70
1998,birch,5A,70
1998,aspen,1A,50
1998,aspen,1,50
1998,aspen,2,50
1998,aspen,3,50
1998,aspen,4,50
1999,pine,1A,100
1999,pine,1,100
1999,pine,2,100
1999,pine,3,100
1999,pine,4,100
1999,pine,5,100
1999,pine,5A,100
1999,spruce,1A,80
1999,spruce,1,80
1999,spruce,2,80
1999,spruce,3,80
1999,spruce,4,80
1999,spruce,5,80
1999,spruce,5A,80
1999,birch,1A,70
1999,birch,1,70
1999,birch,2,70
1999,birch,3,70
1999,birch,4,70
1999,birch,5,70
1999,birch,5A,70
1999,hardwood,1A,100
1999,hardwood,1,100
1999,hardwood,2,100
1999,hardwood,3,100
1999,hardwood,4,100
1999,hardwood,5,100
1999,hardwood,5A,100
2000,pine,1A,100
2000,pine,1,100
2000,pine,2,100
2000,pine,3,100
2000,pine,4,100
2000,pine,5,100
2000,pine,5A,100
2000,spruce,1A,80
2000,spruce,1,80
2000,spruce,2,80
2000,spruce,3,80
2000,spruce,4,80
2000,spruce,5,80
2000,spruce,5A,80
2000,birch,1A,70
2000,birch,1,70
2000,birch,2,70
2000,birch,3,70
2000,birch,4,70
2000,birch,5,70
2000,birch,5A,70
2000,hardwood,1A,100
2000,hardwood,1,100
2000,hardwood,2,100
2000,hardwood,3,100
2000,hardwood,4,100
2000,hardwood,5,100
2000,hardwood,5A,100
2001,pine,1A,100
2001,pine,1,100
2001,pine,2,100
2001,pine,3,100
2001,pine,4,100
2001,pine,5,100
2001,pine,5A,100
2001,spruce,1A,80
2001,spruce,1,80
2001,spruce,2,80
2001,spruce,3,80
2001,spruce,4,80
2001,spruce,5,80
2001,spruce,5A,80
2001,birch,1A,70
2001,birch,1,70
2001,birch,2,70
2001,birch,3,70
2001,birch,4,70
2001,birch,5,70
2001,birch,5A,70
2001,hardwood,1A,100
2001,hardwood,1,100
2001,hardwood,2,100
2001,hardwood,3,100
2001,hardwood,4,100
2001,hardwood,5,100
2001,hardwood,5A,100
2002,pine,1A,100
2002,pine,1,100
2002,pine,2,100
2002,pine,3,100
2002,pine,4,100
2002,pine,5,100
2002,pine,5A,100
2002,spruce,1A,80
2002,spruce,1,80
2002,spruce,2,80
2002,spruce,3,80
2002,spruce,4,80
2002,spruce,5,80
2002,spruce,5A,80
2002,birch,1A,70
2002,birch,1,70
2002,birch,2,70
2002,birch,3,70
2002,birch,4,70
2002,birch,5,70
2002,birch,5A,70
2002,hardwood,1A,100
2002,hardwood,1,100
2002,hardwood,2,100
2002,hardwood,3,100
2002,hardwood,4,100
2002,hardwood,5,100
2002,hardwood,5A,100
2003,pine,1A,100
2003,pine,1,100
2003,pine,2,100
2003,pine,3,100
2003,pine,4,100
2003,pine,5,100
2003,pine,5A,100
2003,spruce,1A,80
2003,spruce,1,80
2003,spruce,2,80
2003,spruce,3,80
2003,spruce,4,80
2003,spruce,5,80
2003,spruce,5A,80
2003,birch,1A,70
2003,birch,1,70
2003,birch,2,70
2003,birch,3,70
2003,birch,4,70
2003,birch,5,70
2003,birch,5A,70
2003,hardwood,1A,100
2003,hardwood,1,100
2003,hardwood,2,100
2003,hardwood,3,100
2003,hardwood,4,100
2003,hardwood,5,100
2003,hardwood,5A,100
2004,pine,1A,100
2004,pine,1,100
2004,pine,2,100
2004,pine,3,100
2004,pine,4,100
2004,pine,5,100
2004,pine,5A,100
2004,spruce,1A,80
2004,spruce,1,80
2004,spruce,2,80
2004,spruce,3,80
2004,spruce,4,80
2004,spruce,5,80
2004,spruce,5A,80
2004,birch,1A,70
2004,birch,1,70
2004,birch,2,70
2004,birch,3,70
2004,birch,4,70
2004,birch,5,70
2004,birch,5A,70
2004,hardwood,1A,100
2004,hardwood,1,100
2004,hardwood,2,100
2004,hardwood,3,100
2004,hardwood,4,100
2004,hardwood,5,100
2004,hardwood,5A,100
2005,pine,1A,100
2005,pine,1,100
2005,pine,2,100
2005,pine,3,100
2005,pine,4,100
2005,pine,5,100
2005,pine,5A,100
2005,spruce,1A,80
2005,spruce,1,80
2005,spruce,2,80
2005,spruce,3,80
2005,spruce,4,80
2005,spruce,5,80
2005,spruce,5A,80
2005,birch,1A,70
2005,birch,1,70
2005,birch,2,70
2005,birch,3,70
2005,birch,4,70
2005,birch,5,70
2005,birch,5A,70
2005,hardwood,1A,100
2005,hardwood,1,100
2005,hardwood,2,100
2005,hardwood,3,100
2005,hardwood,4,100
2005,hardwood,5,100
2005,hardwood,5A,100
2006,pine,1A,100
2006,pine,1,100
2006,pine,2,100
2006,pine,3,100
2006,pine,4,100
2006,pine,5,100
2006,pine,5A,100
2006,spruce,1A,80
2006,spruce,1,80
2006,spruce,2,80
2006,spruce,3,80
2006,spruce,4,80
2006,spruce,5,80
2006,spruce,5A,80
2006,birch,1A,70
2006,birch,1,70
2006,birch,2,70
2006,birch,3,70
2006,birch,4,70
2006,birch,5,70
2006,birch,5A,70
2006,hardwood,1A,100
2006,hardwood,1,100
2006,hardwood,2,100
2006,hardwood,3,100
2006,hardwood,4,100
2006,hardwood,5,100
2006,hardwood,5A,100
2007,pine,1A,90
2007,pine,1,90
2007,pine,2,90
2007,pine,3,100
2007,pine,4,110
2007,pine,5,120
2007,pine,5A,120
2007,spruce,1A,80
2007,spruce,1,80
2007,spruce,2,80
2007,spruce,3,90
2007,spruce,4,90
2007,spruce,5,90
2007,spruce,5A,90
2007,birch,1A,60
2007,birch,1,60
2007,birch,2,70
2007,birch,3,70
2007,birch,4,70
2007,birch,5,70
2007,birch,5A,70
2007,aspen,1A,30
2007,aspen,1,40
2007,aspen,2,40
2007,aspen,3,50
2007,aspen,4,50
