Omand;Boniteedi klass;Majanduskategooria;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;Majandatav metsamaa;2023;Mänd;Suht.viga           (± %);0,029739685
Kokku;5A-5B;Majandatav metsamaa;2023;Mänd;Suht.viga           (± %);0,121259754
Kokku;5;Majandatav metsamaa;2023;Mänd;Suht.viga           (± %);0,093093340
Kokku;4;Majandatav metsamaa;2023;Mänd;Suht.viga           (± %);0,072498671
Kokku;3;Majandatav metsamaa;2023;Mänd;Suht.viga           (± %);0,053813043
Kokku;2;Majandatav metsamaa;2023;Mänd;Suht.viga           (± %);0,046521190
Kokku;1;Majandatav metsamaa;2023;Mänd;Suht.viga           (± %);0,048424040
Kokku;1A;Majandatav metsamaa;2023;Mänd;Suht.viga           (± %);0,087143343
Kokku;Kokku;Majandatav metsamaa;2023;Mänd; Osakaal (%) ;1
Kokku;5A-5B;Majandatav metsamaa;2023;Mänd; Osakaal (%) ;0,049903740
Kokku;5;Majandatav metsamaa;2023;Mänd; Osakaal (%) ;0,059232192
Kokku;4;Majandatav metsamaa;2023;Mänd; Osakaal (%) ;0,097665412
Kokku;3;Majandatav metsamaa;2023;Mänd; Osakaal (%) ;0,194021620
Kokku;2;Majandatav metsamaa;2023;Mänd; Osakaal (%) ;0,273535558
Kokku;1;Majandatav metsamaa;2023;Mänd; Osakaal (%) ;0,248603826
Kokku;1A;Majandatav metsamaa;2023;Mänd; Osakaal (%) ;0,077037651
Kokku;Kokku;Majandatav metsamaa;2023;Mänd;    Pindala      (tuh ha);459,798697648
Kokku;5A-5B;Majandatav metsamaa;2023;Mänd;    Pindala      (tuh ha);22,945674882
Kokku;5;Majandatav metsamaa;2023;Mänd;    Pindala      (tuh ha);27,234884736
Kokku;4;Majandatav metsamaa;2023;Mänd;    Pindala      (tuh ha);44,906429332
Kokku;3;Majandatav metsamaa;2023;Mänd;    Pindala      (tuh ha);89,210888365
Kokku;2;Majandatav metsamaa;2023;Mänd;    Pindala      (tuh ha);125,771293194
Kokku;1;Majandatav metsamaa;2023;Mänd;    Pindala      (tuh ha);114,307715396
Kokku;1A;Majandatav metsamaa;2023;Mänd;    Pindala      (tuh ha);35,421811743
Kokku;Kokku;Majandatav metsamaa;2023;Kuusk;Suht.viga           (± %);0,031790199
Kokku;5A-5B;Majandatav metsamaa;2023;Kuusk;Suht.viga           (± %);0,771486830
Kokku;5;Majandatav metsamaa;2023;Kuusk;Suht.viga           (± %);0,408271375
Kokku;4;Majandatav metsamaa;2023;Kuusk;Suht.viga           (± %);0,221397290
Kokku;3;Majandatav metsamaa;2023;Kuusk;Suht.viga           (± %);0,117322476
Kokku;2;Majandatav metsamaa;2023;Kuusk;Suht.viga           (± %);0,067342094
Kokku;1;Majandatav metsamaa;2023;Kuusk;Suht.viga           (± %);0,042363745
Kokku;1A;Majandatav metsamaa;2023;Kuusk;Suht.viga           (± %);0,046579832
Kokku;Kokku;Majandatav metsamaa;2023;Kuusk; Osakaal (%) ;1
Kokku;5A-5B;Majandatav metsamaa;2023;Kuusk; Osakaal (%) ;0,000735340
Kokku;5;Majandatav metsamaa;2023;Kuusk; Osakaal (%) ;0,003168886
Kokku;4;Majandatav metsamaa;2023;Kuusk; Osakaal (%) ;0,012283500
Kokku;3;Majandatav metsamaa;2023;Kuusk; Osakaal (%) ;0,044216524
Kokku;2;Majandatav metsamaa;2023;Kuusk; Osakaal (%) ;0,140941966
Kokku;1;Majandatav metsamaa;2023;Kuusk; Osakaal (%) ;0,395990081
Kokku;1A;Majandatav metsamaa;2023;Kuusk; Osakaal (%) ;0,402663702
