Omand;Boniteedi klass;Majanduskategooria;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;Mittemajandatavad metsad;2010;Mänd;Suht.viga           (± %);0,091344976
Kokku;5A-5B;Mittemajandatavad metsad;2010;Mänd;Suht.viga           (± %);0,156107353
Kokku;5;Mittemajandatavad metsad;2010;Mänd;Suht.viga           (± %);0,155196619
Kokku;4;Mittemajandatavad metsad;2010;Mänd;Suht.viga           (± %);0,158191274
Kokku;3;Mittemajandatavad metsad;2010;Mänd;Suht.viga           (± %);0,145886210
Kokku;2;Mittemajandatavad metsad;2010;Mänd;Suht.viga           (± %);0,152448602
Kokku;1;Mittemajandatavad metsad;2010;Mänd;Suht.viga           (± %);0,206068765
Kokku;1A;Mittemajandatavad metsad;2010;Mänd;Suht.viga           (± %);0,397150945
Kokku;Kokku;Mittemajandatavad metsad;2010;Mänd; Osakaal (%) ;1
Kokku;5A-5B;Mittemajandatavad metsad;2010;Mänd; Osakaal (%) ;0,174196224
Kokku;5;Mittemajandatavad metsad;2010;Mänd; Osakaal (%) ;0,157436440
Kokku;4;Mittemajandatavad metsad;2010;Mänd; Osakaal (%) ;0,159666710
Kokku;3;Mittemajandatavad metsad;2010;Mänd; Osakaal (%) ;0,215331775
Kokku;2;Mittemajandatavad metsad;2010;Mänd; Osakaal (%) ;0,186897168
Kokku;1;Mittemajandatavad metsad;2010;Mänd; Osakaal (%) ;0,088892593
Kokku;1A;Mittemajandatavad metsad;2010;Mänd; Osakaal (%) ;0,017579090
Kokku;Kokku;Mittemajandatavad metsad;2010;Mänd;    Pindala      (tuh ha);109,510434984
Kokku;5A-5B;Mittemajandatavad metsad;2010;Mänd;    Pindala      (tuh ha);19,076304296
Kokku;5;Mittemajandatavad metsad;2010;Mänd;    Pindala      (tuh ha);17,240933066
Kokku;4;Mittemajandatavad metsad;2010;Mänd;    Pindala      (tuh ha);17,485170820
Kokku;3;Mittemajandatavad metsad;2010;Mänd;    Pindala      (tuh ha);23,581076376
Kokku;2;Mittemajandatavad metsad;2010;Mänd;    Pindala      (tuh ha);20,467190190
Kokku;1;Mittemajandatavad metsad;2010;Mänd;    Pindala      (tuh ha);9,734666476
Kokku;1A;Mittemajandatavad metsad;2010;Mänd;    Pindala      (tuh ha);1,925093761
Kokku;Kokku;Mittemajandatavad metsad;2010;Kuusk;Suht.viga           (± %);0,164783284
Kokku;5A-5B;Mittemajandatavad metsad;2010;Kuusk;Suht.viga           (± %);
Kokku;5;Mittemajandatavad metsad;2010;Kuusk;Suht.viga           (± %);
Kokku;4;Mittemajandatavad metsad;2010;Kuusk;Suht.viga           (± %);1,321998317
Kokku;3;Mittemajandatavad metsad;2010;Kuusk;Suht.viga           (± %);0,416232004
Kokku;2;Mittemajandatavad metsad;2010;Kuusk;Suht.viga           (± %);0,240769516
Kokku;1;Mittemajandatavad metsad;2010;Kuusk;Suht.viga           (± %);0,237355912
Kokku;1A;Mittemajandatavad metsad;2010;Kuusk;Suht.viga           (± %);0,233032556
Kokku;Kokku;Mittemajandatavad metsad;2010;Kuusk; Osakaal (%) ;1
Kokku;5A-5B;Mittemajandatavad metsad;2010;Kuusk; Osakaal (%) ;
Kokku;5;Mittemajandatavad metsad;2010;Kuusk; Osakaal (%) ;
Kokku;4;Mittemajandatavad metsad;2010;Kuusk; Osakaal (%) ;0,010475175
Kokku;3;Mittemajandatavad metsad;2010;Kuusk; Osakaal (%) ;0,120741056
Kokku;2;Mittemajandatavad metsad;2010;Kuusk; Osakaal (%) ;0,328892208
Kokku;1;Mittemajandatavad metsad;2010;Kuusk; Osakaal (%) ;0,329364639
Kokku;1A;Mittemajandatavad metsad;2010;Kuusk; Osakaal (%) ;0,210526922
Kokku;Kokku;Mittemajandatavad metsad;2010;Kuusk;    Pindala      (tuh ha);19,799477022
Kokku;5A-5B;Mittemajandatavad metsad;2010;Kuusk;    Pindala      (tuh ha);
Kokku;5;Mittemajandatavad metsad;2010;Kuusk;    Pindala      (tuh ha);
Kokku;4;Mittemajandatavad metsad;2010;Kuusk;    Pindala      (tuh ha);0,207402984
Kokku;3;Mittemajandatavad metsad;2010;Kuusk;    Pindala      (tuh ha);2,390609759
Kokku;2;Mittemajandatavad metsad;2010;Kuusk;    Pindala      (tuh ha);6,511893722
Kokku;1;Mittemajandatavad metsad;2010;Kuusk;    Pindala      (tuh ha);6,521247597
Kokku;1A;Mittemajandatavad metsad;2010;Kuusk;    Pindala      (tuh ha);4,168322959
Kokku;Kokku;Mittemajandatavad metsad;2010;Kask;Suht.viga           (± %);0,124572926
Kokku;5A-5B;Mittemajandatavad metsad;2010;Kask;Suht.viga           (± %);0,473942753
Kokku;5;Mittemajandatavad metsad;2010;Kask;Suht.viga           (± %);0,425835395
Kokku;4;Mittemajandatavad metsad;2010;Kask;Suht.viga           (± %);0,269303231
Kokku;3;Mittemajandatavad metsad;2010;Kask;Suht.viga           (± %);0,207697146
Kokku;2;Mittemajandatavad metsad;2010;Kask;Suht.viga           (± %);0,190230669
Kokku;1;Mittemajandatavad metsad;2010;Kask;Suht.viga           (± %);0,196651233
Kokku;1A;Mittemajandatavad metsad;2010;Kask;Suht.viga           (± %);0,289257131
Kokku;Kokku;Mittemajandatavad metsad;2010;Kask; Osakaal (%) ;1
Kokku;5A-5B;Mittemajandatavad metsad;2010;Kask; Osakaal (%) ;0,025282560
Kokku;5;Mittemajandatavad metsad;2010;Kask; Osakaal (%) ;0,039729737
Kokku;4;Mittemajandatavad metsad;2010;Kask; Osakaal (%) ;0,110738334
Kokku;3;Mittemajandatavad metsad;2010;Kask; Osakaal (%) ;0,251970324
Kokku;2;Mittemajandatavad metsad;2010;Kask; Osakaal (%) ;0,322132317
Kokku;1;Mittemajandatavad metsad;2010;Kask; Osakaal (%) ;0,192358021
Kokku;1A;Mittemajandatavad metsad;2010;Kask; Osakaal (%) ;0,057788708
Kokku;Kokku;Mittemajandatavad metsad;2010;Kask;    Pindala      (tuh ha);57,423809471
Kokku;5A-5B;Mittemajandatavad metsad;2010;Kask;    Pindala      (tuh ha);1,451820891
Kokku;5;Mittemajandatavad metsad;2010;Kask;    Pindala      (tuh ha);2,281432828
Kokku;4;Mittemajandatavad metsad;2010;Kask;    Pindala      (tuh ha);6,359016982
Kokku;3;Mittemajandatavad metsad;2010;Kask;    Pindala      (tuh ha);14,469095881
Kokku;2;Mittemajandatavad metsad;2010;Kask;    Pindala      (tuh ha);18,498064775
Kokku;1;Mittemajandatavad metsad;2010;Kask;    Pindala      (tuh ha);11,045930364
Kokku;1A;Mittemajandatavad metsad;2010;Kask;    Pindala      (tuh ha);3,318447750
Kokku;Kokku;Mittemajandatavad metsad;2010;Haab;Suht.viga           (± %);0,206806483
Kokku;5A-5B;Mittemajandatavad metsad;2010;Haab;Suht.viga           (± %);
Kokku;5;Mittemajandatavad metsad;2010;Haab;Suht.viga           (± %);
Kokku;4;Mittemajandatavad metsad;2010;Haab;Suht.viga           (± %);
Kokku;3;Mittemajandatavad metsad;2010;Haab;Suht.viga           (± %);
Kokku;2;Mittemajandatavad metsad;2010;Haab;Suht.viga           (± %);0,384737572
Kokku;1;Mittemajandatavad metsad;2010;Haab;Suht.viga           (± %);0,340477171
Kokku;1A;Mittemajandatavad metsad;2010;Haab;Suht.viga           (± %);0,284612152
Kokku;Kokku;Mittemajandatavad metsad;2010;Haab; Osakaal (%) ;1
Kokku;5A-5B;Mittemajandatavad metsad;2010;Haab; Osakaal (%) ;
Kokku;5;Mittemajandatavad metsad;2010;Haab; Osakaal (%) ;
Kokku;4;Mittemajandatavad metsad;2010;Haab; Osakaal (%) ;
Kokku;3;Mittemajandatavad metsad;2010;Haab; Osakaal (%) ;
Kokku;2;Mittemajandatavad metsad;2010;Haab; Osakaal (%) ;0,179410815
Kokku;1;Mittemajandatavad metsad;2010;Haab; Osakaal (%) ;0,333616973
Kokku;1A;Mittemajandatavad metsad;2010;Haab; Osakaal (%) ;0,486972212
Kokku;Kokku;Mittemajandatavad metsad;2010;Haab;    Pindala      (tuh ha);8,092159281
Kokku;5A-5B;Mittemajandatavad metsad;2010;Haab;    Pindala      (tuh ha);
Kokku;5;Mittemajandatavad metsad;2010;Haab;    Pindala      (tuh ha);
Kokku;4;Mittemajandatavad metsad;2010;Haab;    Pindala      (tuh ha);
Kokku;3;Mittemajandatavad metsad;2010;Haab;    Pindala      (tuh ha);
Kokku;2;Mittemajandatavad metsad;2010;Haab;    Pindala      (tuh ha);1,451820891
Kokku;1;Mittemajandatavad metsad;2010;Haab;    Pindala      (tuh ha);2,699681687
Kokku;1A;Mittemajandatavad metsad;2010;Haab;    Pindala      (tuh ha);3,940656703
Kokku;Kokku;Mittemajandatavad metsad;2010;Sanglepp;Suht.viga           (± %);0,274752724
Kokku;5A-5B;Mittemajandatavad metsad;2010;Sanglepp;Suht.viga           (± %);
Kokku;5;Mittemajandatavad metsad;2010;Sanglepp;Suht.viga           (± %);
Kokku;4;Mittemajandatavad metsad;2010;Sanglepp;Suht.viga           (± %);0,790556997
Kokku;3;Mittemajandatavad metsad;2010;Sanglepp;Suht.viga           (± %);0,452640814
Kokku;2;Mittemajandatavad metsad;2010;Sanglepp;Suht.viga           (± %);0,375518577
Kokku;1;Mittemajandatavad metsad;2010;Sanglepp;Suht.viga           (± %);0,453680564
Kokku;1A;Mittemajandatavad metsad;2010;Sanglepp;Suht.viga           (± %);0,789583758
Kokku;Kokku;Mittemajandatavad metsad;2010;Sanglepp; Osakaal (%) ;1
