Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 192,7
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 243,1
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 235,5
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 215,1
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 255,5
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 282,2
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 270,9
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 268,7
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 264,9
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 229,3
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 216,6
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 222,2
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 234,6
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 249,6
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 268,5
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 295,5
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 310,6
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 313,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 331,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 331,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 333,2
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 325,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 325,6
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 325,0
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 334,2
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;Kokku ;2 350,6
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;10,4
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;14,5
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;15,0
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;15,0
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;14,5
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;16,6
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;17,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;18,1
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;19,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;19,0
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;16,9
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;16,8
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;17,2
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;17,7
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;19,0
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;21,5
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;22,7
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;23,0
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;25,7
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;26,5
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;28,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;29,0
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;31,1
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;32,6
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;35,4
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;141...;36,5
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;5,2
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;8,2
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;5,8
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;5,8
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;6,0
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;6,7
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;7,3
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;8,6
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;9,5
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;11,0
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;10,8
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;10,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;10,8
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;11,1
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;11,3
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;12,9
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;15,7
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;16,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;17,8
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;18,0
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;19,7
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;19,6
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;20,3
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;19,7
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;19,5
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;131...140;18,9
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;6,2
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;8,1
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;7,6
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;9,1
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;9,4
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;11,8
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;15,1
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;17,3
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;17,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;19,7
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;19,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;20,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;20,0
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;20,8
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;19,5
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;19,8
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;15,5
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;13,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;16,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;16,9
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;19,5
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;20,6
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;22,6
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;22,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;22,1
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;23,1
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;23,9
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;33,8
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;32,2
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;29,4
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;28,3
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27,5
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;23,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;23,0
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;24,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;24,3
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;25,3
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;24,8
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;21,8
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;22,7
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;23,3
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;24,4
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;28,0
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;32,0
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;32,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;32,5
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;35,8
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;37,3
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;39,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;40,4
