Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;119,2
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;114,0
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;113,6
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;117,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;121,6
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;121,5
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;118,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;119,2
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;114,3
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;113,8
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;113,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;115,1
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;120,0
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;120,2
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;118,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;120,5
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;121,4
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;124,1
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;127,6
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;129,9
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;132,0
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;134,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;128,3
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;125,6
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;127,3
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;130,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
