Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;608,2
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;623,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;644,3
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;647,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;653,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;649,4
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;647,3
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;630,0
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;619,3
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;611,7
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;615,1
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;622,9
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;636,6
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;635,7
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;629,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;624,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;617,1
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;600,8
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;598,9
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;608,5
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;599,6
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;598,7
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;588,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;585,0
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;591,8
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;593,4
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
