Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;45,9
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;55,7
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;60,1
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;56,8
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;61,4
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;61,7
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;59,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;57,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;58,8
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;58,6
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;62,0
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;63,7
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;65,8
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;67,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;66,9
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;63,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;65,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;66,2
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;71,1
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;75,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;77,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;80,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;78,9
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;76,0
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;76,7
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;76,7
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
