Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;198,2
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;174,9
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;182,9
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;181,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;196,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;197,6
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;202,2
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;203,8
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;191,7
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;179,9
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;181,0
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;184,1
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;181,1
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;193,1
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;200,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;202,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;204,8
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;202,7
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;198,6
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;201,4
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;201,2
