Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;37,3
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;33,0
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;32,0
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;31,6
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;37,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;36,7
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;36,4
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;39,7
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;40,3
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;37,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;36,5
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;37,2
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;34,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;37,1
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;37,9
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;38,1
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;37,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;37,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;38,5
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;37,0
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;35,9
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;35,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;35,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;35,7
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;36,1
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;36,4
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,6
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,4
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,4
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,4
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,4
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,4
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,4
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,4
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,6
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,6
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,6
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,7
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,7
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,7
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,6
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,6
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,6
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,3
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,3
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;141...;0,3
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
