Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;604,1
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;647,2
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;624,3
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;612,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;609,8
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;624,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;613,3
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;631,8
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;653,4
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;643,3
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;635,3
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;632,9
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;610,3
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;598,2
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;606,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;615,6
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;603,4
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;592,9
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;571,9
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;583,3
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;575,1
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;555,5
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;519,8
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;512,3
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;501,3
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;Kokku ;478,6
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;5,5
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;9,0
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;7,2
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;7,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;6,8
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;6,7
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;6,2
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;6,7
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;7,5
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;7,6
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;7,1
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;141...;6,9
