Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;391,0
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;411,0
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;411,3
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;405,0
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;404,7
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;407,0
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;402,4
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;395,3
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;387,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;389,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;375,8
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;376,6
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;385,2
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;384,6
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;388,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;409,6
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;419,0
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;428,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;438,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;438,7
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;440,1
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;438,9
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;431,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;426,0
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;425,0
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;431,8
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,6
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,9
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,7
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,9
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,9
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,3
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,7
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,9
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,9
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,7
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,7
