YEAR,TYPE,DOMINANT_SPECIES,CUTTING_AGE
1999,production,all,67.29247713838225
1999,protected,all,
1999,production,aspen,40.0
1999,protected,aspen,
1999,production,birch,60.0
1999,protected,birch,
1999,production,black alder,60.0
1999,protected,black alder,
1999,production,grey alder,30.0
1999,protected,grey alder,
1999,production,other,90.0
1999,protected,other,
1999,production,pine,90.0
1999,protected,pine,
1999,production,spruce,70.0
1999,protected,spruce,
2000,production,all,68.17064175067617
2000,protected,all,
2000,production,aspen,40.0
2000,protected,aspen,
2000,production,birch,60.0
2000,protected,birch,
2000,production,black alder,60.0
2000,protected,black alder,
2000,production,grey alder,30.0
2000,protected,grey alder,
2000,production,other,90.0
2000,protected,other,
2000,production,pine,90.0
2000,protected,pine,
2000,production,spruce,70.0
2000,protected,spruce,
2001,production,all,67.68264672824122
2001,protected,all,
2001,production,aspen,40.0
2001,protected,aspen,
2001,production,birch,60.0
2001,protected,birch,
2001,production,black alder,60.0
2001,protected,black alder,
2001,production,grey alder,30.0
2001,protected,grey alder,
2001,production,other,90.0
2001,protected,other,
2001,production,pine,90.0
2001,protected,pine,
2001,production,spruce,70.0
2001,protected,spruce,
2002,production,all,67.5194792385837
2002,protected,all,
2002,production,aspen,40.0
2002,protected,aspen,
2002,production,birch,60.0
2002,protected,birch,
2002,production,black alder,60.0
2002,protected,black alder,
2002,production,grey alder,30.0
2002,protected,grey alder,
2002,production,other,90.0
2002,protected,other,
2002,production,pine,90.0
2002,protected,pine,
2002,production,spruce,70.0
2002,protected,spruce,
2003,production,all,67.16567932407497
2003,protected,all,
2003,production,aspen,40.0
2003,protected,aspen,
2003,production,birch,60.0
2003,protected,birch,
2003,production,black alder,60.0
2003,protected,black alder,
2003,production,grey alder,30.0
2003,protected,grey alder,
2003,production,other,90.0
2003,protected,other,
2003,production,pine,90.0
2003,protected,pine,
2003,production,spruce,70.0
2003,protected,spruce,
2004,production,all,67.32173072274595
2004,protected,all,
2004,production,aspen,40.0
2004,protected,aspen,
2004,production,birch,60.0
2004,protected,birch,
2004,production,black alder,60.0
2004,protected,black alder,
2004,production,grey alder,30.0
2004,protected,grey alder,
2004,production,other,90.0
2004,protected,other,
2004,production,pine,90.0
2004,protected,pine,
2004,production,spruce,70.0
2004,protected,spruce,
2005,production,all,67.16892749097298
2005,protected,all,
2005,production,aspen,40.0
2005,protected,aspen,
2005,production,birch,60.0
2005,protected,birch,
2005,production,black alder,60.0
2005,protected,black alder,
2005,production,grey alder,30.0
2005,protected,grey alder,
2005,production,other,90.0
2005,protected,other,
2005,production,pine,90.0
2005,protected,pine,
2005,production,spruce,70.0
2005,protected,spruce,
2006,production,all,67.4477334896444
2006,protected,all,
2006,production,aspen,40.0
2006,protected,aspen,
2006,production,birch,60.0
2006,protected,birch,
2006,production,black alder,60.0
2006,protected,black alder,
2006,production,grey alder,30.0
2006,protected,grey alder,
2006,production,other,90.0
2006,protected,other,
2006,production,pine,90.0
2006,protected,pine,
2006,production,spruce,70.0
2006,protected,spruce,
2007,production,all,67.99852724594993
2007,protected,all,
2007,production,aspen,40.0
2007,protected,aspen,
2007,production,birch,60.0
2007,protected,birch,
2007,production,black alder,60.0
2007,protected,black alder,
2007,production,grey alder,30.0
2007,protected,grey alder,
2007,production,other,90.0
2007,protected,other,
2007,production,pine,90.0
2007,protected,pine,
2007,production,spruce,70.0
2007,protected,spruce,
2008,production,all,68.12151116427432
2008,protected,all,
2008,production,aspen,40.0
2008,protected,aspen,
2008,production,birch,60.0
2008,protected,birch,
2008,production,black alder,60.0
2008,protected,black alder,
2008,production,grey alder,30.0
2008,protected,grey alder,
2008,production,other,90.0
2008,protected,other,
2008,production,pine,90.0
2008,protected,pine,
2008,production,spruce,70.0
2008,protected,spruce,
2009,production,all,67.98385884004212
2009,protected,all,
2009,production,aspen,40.0
2009,protected,aspen,
2009,production,birch,60.0
2009,protected,birch,
2009,production,black alder,60.0
2009,protected,black alder,
2009,production,grey alder,30.0
2009,protected,grey alder,
2009,production,other,90.0
2009,protected,other,
2009,production,pine,90.0
2009,protected,pine,
2009,production,spruce,70.0
