YEAR,DOMINANT_SPECIES,DIAMETER_CM_GROUP,AREA,UNIT,RELATIVE_ERROR_PERCENT
2011,aspen,0...2,13.882732019,kha,0.14549909
2011,aspen,3...4,9.161631935,kha,0.168616959
2011,aspen,5...6,4.415318063,kha,0.256684359
2011,aspen,7...8,1.646678205,kha,0.400792209
2011,aspen,9...10,3.36003287,kha,0.335776505
2011,aspen,11...12,1.952875268,kha,0.348073883
2011,aspen,13...14,2.215098655,kha,0.296203222
2011,aspen,15...16,3.529037877,kha,0.268007446
2011,aspen,17...18,1.752306335,kha,0.366341996
2011,aspen,19...20,4.788980165,kha,0.229483498
2011,aspen,21...22,6.023542649,kha,0.207498856
2011,aspen,23...24,7.574512223,kha,0.17828182
2011,aspen,25...26,11.289405803,kha,0.149008827
2011,aspen,27...28,6.002105742,kha,0.211760458
2011,aspen,29...30,10.622412933,kha,0.150373355
2011,aspen,31...32,4.781198132,kha,0.22821428
2011,aspen,33...34,4.942483362,kha,0.210764011
2011,aspen,35...36,6.369853498,kha,0.200214594
2011,aspen,37...38,2.182766902,kha,0.301444003
2011,aspen,39...40,4.261939379,kha,0.242161757
2011,aspen,41...42,0.528016134,kha,0.614450575
2011,aspen,43...44,0.72632309,kha,0.518796912
2011,aspen,45...46,1.796466778,kha,0.367455065
2011,aspen,47...48,0.622562648,kha,0.705811921
2011,aspen,49...50,0.622562648,kha,0.600037488
2011,aspen,51...,1.037604414,kha,0.616382403
2011,aspen,all,116.088447727,kha,0.058733462
2011,birch,0...2,46.714776907,kha,0.084860004
2011,birch,3...4,32.885772044,kha,0.0923434
2011,birch,5...6,21.241692301,kha,0.1160241
2011,birch,7...8,26.017930684,kha,0.09775625
2011,birch,9...10,37.325930357,kha,0.085135899
2011,birch,11...12,35.346948962,kha,0.088101127
2011,birch,13...14,65.077013198,kha,0.065818001
2011,birch,15...16,68.596982412,kha,0.070888803
2011,birch,17...18,73.661405045,kha,0.065374153
2011,birch,19...20,61.663709717,kha,0.074352973
2011,birch,21...22,50.100376349,kha,0.077272681
2011,birch,23...24,56.681257833,kha,0.074487474
2011,birch,25...26,37.221630362,kha,0.093885982
2011,birch,27...28,21.371330596,kha,0.121988088
2011,birch,29...30,14.447022803,kha,0.161607368
2011,birch,31...32,4.862691583,kha,0.231705922
2011,birch,33...34,3.851048031,kha,0.233870176
2011,birch,35...36,4.386721686,kha,0.248640353
2011,birch,37...38,1.037604414,kha,0.499187686
2011,birch,39...40,1.037604414,kha,0.489366321
2011,birch,41...42,0.415041766,kha,0.749458705
2011,birch,43...44,0.207520883,kha,1.22441347
2011,birch,45...46,1.160830314,kha,0.438477368
2011,birch,47...48,,kha,0.0
2011,birch,49...50,,kha,0.0
2011,birch,51...,,kha,0.0
2011,birch,all,665.312842661,kha,0.029011414
2011,black alder,0...2,2.282729711,kha,0.345878376
2011,black alder,3...4,2.52737608,kha,0.30576096
2011,black alder,5...6,2.075208828,kha,0.41074471
2011,black alder,7...8,1.095046194,kha,0.504043503
2011,black alder,9...10,1.245125297,kha,0.432736529
2011,black alder,11...12,2.470390845,kha,0.428207467
2011,black alder,13...14,1.594486703,kha,0.420812373
2011,black alder,15...16,5.122445472,kha,0.21525968
2011,black alder,17...18,7.86118157,kha,0.184962779
2011,black alder,19...20,7.906504131,kha,0.19287287
2011,black alder,21...22,6.225190691,kha,0.199348601
2011,black alder,23...24,10.564099565,kha,0.148613775
2011,black alder,25...26,5.959314936,kha,0.215076618
2011,black alder,27...28,5.143031543,kha,0.244215568
2011,black alder,29...30,3.527855008,kha,0.274759057
2011,black alder,31...32,0.415041766,kha,0.789527306
2011,black alder,33...34,0.207520883,kha,0.999665687
2011,black alder,35...36,1.037604414,kha,0.469005405
2011,black alder,37...38,0.415041766,kha,0.706954567
2011,black alder,39...40,0.207520883,kha,1.22441347
2011,black alder,41...42,,kha,0.0
2011,black alder,43...44,,kha,0.0
2011,black alder,45...46,0.052149998,kha,0.999785002
2011,black alder,47...48,,kha,0.0
2011,black alder,49...50,,kha,0.0
2011,black alder,51...,,kha,0.0
2011,black alder,all,67.934866284,kha,0.082203189
2011,grey alder,0...2,14.621651626,kha,0.13359427
2011,grey alder,3...4,12.657009925,kha,0.142164294
2011,grey alder,5...6,10.216149301,kha,0.1511977
2011,grey alder,7...8,7.580924618,kha,0.180263437
