YEAR,OWNER,TYPE,DOMINANT_SPECIES,QUALITY_CLASS,AREA,UNIT,RELATIVE_ERROR_PERCENT
1999,State Forest Management Centre,production,aspen,1,19.0788779,kha,0.290256794
1999,State Forest Management Centre,production,aspen,1A,7.710203159,kha,0.420728744
1999,State Forest Management Centre,production,aspen,2,4.568806221,kha,0.703738004
1999,State Forest Management Centre,production,aspen,3,1.142201555,kha,0.998147748
1999,State Forest Management Centre,production,aspen,4,,kha,0.0
1999,State Forest Management Centre,production,aspen,5,,kha,0.0
1999,State Forest Management Centre,production,aspen,5A-5B,,kha,0.0
1999,State Forest Management Centre,production,aspen,all,32.500088835,kha,0.248929147
1999,State Forest Management Centre,production,birch,1,50.071260682,kha,0.240896736
1999,State Forest Management Centre,production,birch,1A,8.781816658,kha,0.471599158
1999,State Forest Management Centre,production,birch,2,65.388183539,kha,0.207595316
1999,State Forest Management Centre,production,birch,3,38.374317214,kha,0.19030954
1999,State Forest Management Centre,production,birch,4,9.137612443,kha,0.427489389
1999,State Forest Management Centre,production,birch,5,1.142201555,kha,0.998147748
1999,State Forest Management Centre,production,birch,5A-5B,,kha,0.0
1999,State Forest Management Centre,production,birch,all,172.895392091,kha,0.170359563
1999,State Forest Management Centre,production,black alder,1,1.142201555,kha,0.998147748
1999,State Forest Management Centre,production,black alder,1A,,kha,0.0
1999,State Forest Management Centre,production,black alder,2,9.137612443,kha,0.388888468
1999,State Forest Management Centre,production,black alder,3,1.142201555,kha,0.997093491
1999,State Forest Management Centre,production,black alder,4,1.142201555,kha,0.998147748
1999,State Forest Management Centre,production,black alder,5,,kha,0.0
1999,State Forest Management Centre,production,black alder,5A-5B,,kha,0.0
1999,State Forest Management Centre,production,black alder,all,12.564217109,kha,0.368303451
1999,State Forest Management Centre,production,grey alder,1,6.181252157,kha,0.415240778
1999,State Forest Management Centre,production,grey alder,1A,,kha,0.0
1999,State Forest Management Centre,production,grey alder,2,3.558414725,kha,0.516203309
1999,State Forest Management Centre,production,grey alder,3,,kha,0.0
1999,State Forest Management Centre,production,grey alder,4,,kha,0.0
1999,State Forest Management Centre,production,grey alder,5,,kha,0.0
1999,State Forest Management Centre,production,grey alder,5A-5B,,kha,0.0
1999,State Forest Management Centre,production,grey alder,all,9.739666882,kha,0.351818505
1999,State Forest Management Centre,production,other,1,2.110445814,kha,0.706208864
1999,State Forest Management Centre,production,other,1A,2.284403111,kha,0.702990348
1999,State Forest Management Centre,production,other,2,3.426604666,kha,0.742397007
1999,State Forest Management Centre,production,other,3,1.142201555,kha,0.997093491
1999,State Forest Management Centre,production,other,4,,kha,0.0
1999,State Forest Management Centre,production,other,5,,kha,0.0
1999,State Forest Management Centre,production,other,5A-5B,,kha,0.0
