Omand;Kaitsepõhjus;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;2019;Mänd;Suht.viga           (± %);0,025427816
Kokku;51...;2019;Mänd;Suht.viga           (± %);0,484106420
Kokku;49...50;2019;Mänd;Suht.viga           (± %);0,595896382
Kokku;47...48;2019;Mänd;Suht.viga           (± %);0,428169416
Kokku;45...46;2019;Mänd;Suht.viga           (± %);0,337273312
Kokku;43...44;2019;Mänd;Suht.viga           (± %);0,323267711
Kokku;41...42;2019;Mänd;Suht.viga           (± %);0,205052557
Kokku;39...40;2019;Mänd;Suht.viga           (± %);0,135219178
Kokku;37...38;2019;Mänd;Suht.viga           (± %);0,110841227
Kokku;35...36;2019;Mänd;Suht.viga           (± %);0,101167600
Kokku;33...34;2019;Mänd;Suht.viga           (± %);0,090091024
Kokku;31...32;2019;Mänd;Suht.viga           (± %);0,072855031
Kokku;29...30;2019;Mänd;Suht.viga           (± %);0,055969867
Kokku;27...28;2019;Mänd;Suht.viga           (± %);0,056134486
Kokku;25...26;2019;Mänd;Suht.viga           (± %);0,051834514
Kokku;23...24;2019;Mänd;Suht.viga           (± %);0,058952076
Kokku;21...22;2019;Mänd;Suht.viga           (± %);0,061830778
Kokku;19...20;2019;Mänd;Suht.viga           (± %);0,066080457
Kokku;17...18;2019;Mänd;Suht.viga           (± %);0,073949187
Kokku;15...16;2019;Mänd;Suht.viga           (± %);0,087690419
Kokku;13...14;2019;Mänd;Suht.viga           (± %);0,092359476
Kokku;11...12;2019;Mänd;Suht.viga           (± %);0,085486231
Kokku;9...10;2019;Mänd;Suht.viga           (± %);0,095388182
Kokku;7...8;2019;Mänd;Suht.viga           (± %);0,119026909
Kokku;5...6;2019;Mänd;Suht.viga           (± %);0,135620877
Kokku;3...4;2019;Mänd;Suht.viga           (± %);0,138084455
Kokku;   ...2;2019;Mänd;Suht.viga           (± %);0,136618416
Kokku;Kokku;2019;Mänd; Osakaal (%) ;1
Kokku;51...;2019;Mänd; Osakaal (%) ;0,001031559
Kokku;49...50;2019;Mänd; Osakaal (%) ;0,000504011
Kokku;47...48;2019;Mänd; Osakaal (%) ;0,001602653
Kokku;45...46;2019;Mänd; Osakaal (%) ;0,002308484
Kokku;43...44;2019;Mänd; Osakaal (%) ;0,002092057
Kokku;41...42;2019;Mänd; Osakaal (%) ;0,005941491
Kokku;39...40;2019;Mänd; Osakaal (%) ;0,012987462
Kokku;37...38;2019;Mänd; Osakaal (%) ;0,020700274
Kokku;35...36;2019;Mänd; Osakaal (%) ;0,027628289
Kokku;33...34;2019;Mänd; Osakaal (%) ;0,033111353
Kokku;31...32;2019;Mänd; Osakaal (%) ;0,053056869
Kokku;29...30;2019;Mänd; Osakaal (%) ;0,097386401
Kokku;27...28;2019;Mänd; Osakaal (%) ;0,113974955
Kokku;25...26;2019;Mänd; Osakaal (%) ;0,119715107
Kokku;23...24;2019;Mänd; Osakaal (%) ;0,090857240
Kokku;21...22;2019;Mänd; Osakaal (%) ;0,070077566
Kokku;19...20;2019;Mänd; Osakaal (%) ;0,061767996
Kokku;17...18;2019;Mänd; Osakaal (%) ;0,052300485
Kokku;15...16;2019;Mänd; Osakaal (%) ;0,041426876
Kokku;13...14;2019;Mänd; Osakaal (%) ;0,041373554
Kokku;11...12;2019;Mänd; Osakaal (%) ;0,045280157
Kokku;9...10;2019;Mänd; Osakaal (%) ;0,029545359
Kokku;7...8;2019;Mänd; Osakaal (%) ;0,024675859
Kokku;5...6;2019;Mänd; Osakaal (%) ;0,019552202
Kokku;3...4;2019;Mänd; Osakaal (%) ;0,015985201
Kokku;   ...2;2019;Mänd; Osakaal (%) ;0,015116540
Kokku;Kokku;2019;Mänd;    Pindala      (tuh ha);683,212431192
Kokku;51...;2019;Mänd;    Pindala      (tuh ha);0,704773808
Kokku;49...50;2019;Mänd;    Pindala      (tuh ha);0,344346826
Kokku;47...48;2019;Mänd;    Pindala      (tuh ha);1,094952205
Kokku;45...46;2019;Mänd;    Pindala      (tuh ha);1,577184798
Kokku;43...44;2019;Mänd;    Pindala      (tuh ha);1,429319324
Kokku;41...42;2019;Mänd;    Pindala      (tuh ha);4,059300666
Kokku;39...40;2019;Mänd;    Pindala      (tuh ha);8,873195466
Kokku;37...38;2019;Mänd;    Pindala      (tuh ha);14,142684236
Kokku;35...36;2019;Mänd;    Pindala      (tuh ha);18,875990553
Kokku;33...34;2019;Mänd;    Pindala      (tuh ha);22,622087962
Kokku;31...32;2019;Mänd;    Pindala      (tuh ha);36,249112278
Kokku;29...30;2019;Mänd;    Pindala      (tuh ha);66,535599756
Kokku;27...28;2019;Mänd;    Pindala      (tuh ha);77,869105900
Kokku;25...26;2019;Mänd;    Pindala      (tuh ha);81,790849285
Kokku;23...24;2019;Mänd;    Pindala      (tuh ha);62,074795759
Kokku;21...22;2019;Mänd;    Pindala      (tuh ha);47,877864462
Kokku;19...20;2019;Mänd;    Pindala      (tuh ha);42,200662418
Kokku;17...18;2019;Mänd;    Pindala      (tuh ha);35,732341764
Kokku;15...16;2019;Mänd;    Pindala      (tuh ha);28,303356972
Kokku;13...14;2019;Mänd;    Pindala      (tuh ha);28,266926348
Kokku;11...12;2019;Mänd;    Pindala      (tuh ha);30,935966200
Kokku;9...10;2019;Mänd;    Pindala      (tuh ha);20,185756738
Kokku;7...8;2019;Mänd;    Pindala      (tuh ha);16,858853959
Kokku;5...6;2019;Mänd;    Pindala      (tuh ha);13,358307403
Kokku;3...4;2019;Mänd;    Pindala      (tuh ha);10,921287923
Kokku;   ...2;2019;Mänd;    Pindala      (tuh ha);10,327808186
Kokku;Kokku;2019;Kuusk;Suht.viga           (± %);0,027549664
Kokku;51...;2019;Kuusk;Suht.viga           (± %);0,707057716
Kokku;49...50;2019;Kuusk;Suht.viga           (± %);0,577207055
Kokku;47...48;2019;Kuusk;Suht.viga           (± %);0,400088683
Kokku;45...46;2019;Kuusk;Suht.viga           (± %);0,285685332
Kokku;43...44;2019;Kuusk;Suht.viga           (± %);0,342450784
Kokku;41...42;2019;Kuusk;Suht.viga           (± %);0,255799151
Kokku;39...40;2019;Kuusk;Suht.viga           (± %);0,205196711
Kokku;37...38;2019;Kuusk;Suht.viga           (± %);0,146646041
Kokku;35...36;2019;Kuusk;Suht.viga           (± %);0,138303974
Kokku;33...34;2019;Kuusk;Suht.viga           (± %);0,109008868
Kokku;31...32;2019;Kuusk;Suht.viga           (± %);0,105383947
Kokku;29...30;2019;Kuusk;Suht.viga           (± %);0,085163441
Kokku;27...28;2019;Kuusk;Suht.viga           (± %);0,075687077
Kokku;25...26;2019;Kuusk;Suht.viga           (± %);0,070152608
Kokku;23...24;2019;Kuusk;Suht.viga           (± %);0,086125442
Kokku;21...22;2019;Kuusk;Suht.viga           (± %);0,078855721
Kokku;19...20;2019;Kuusk;Suht.viga           (± %);0,085863980
Kokku;17...18;2019;Kuusk;Suht.viga           (± %);0,083946721
Kokku;15...16;2019;Kuusk;Suht.viga           (± %);0,085786838
Kokku;13...14;2019;Kuusk;Suht.viga           (± %);0,103136039
Kokku;11...12;2019;Kuusk;Suht.viga           (± %);0,096657542
Kokku;9...10;2019;Kuusk;Suht.viga           (± %);0,112582207
Kokku;7...8;2019;Kuusk;Suht.viga           (± %);0,112153895
Kokku;5...6;2019;Kuusk;Suht.viga           (± %);0,108806668
Kokku;3...4;2019;Kuusk;Suht.viga           (± %);0,105430218
Kokku;   ...2;2019;Kuusk;Suht.viga           (± %);0,114572959
Kokku;Kokku;2019;Kuusk; Osakaal (%) ;1
Kokku;51...;2019;Kuusk; Osakaal (%) ;0,000822432
Kokku;49...50;2019;Kuusk; Osakaal (%) ;0,001233647
Kokku;47...48;2019;Kuusk; Osakaal (%) ;0,002056079
Kokku;45...46;2019;Kuusk; Osakaal (%) ;0,005062149
Kokku;43...44;2019;Kuusk; Osakaal (%) ;0,003700942
Kokku;41...42;2019;Kuusk; Osakaal (%) ;0,006829637
Kokku;39...40;2019;Kuusk; Osakaal (%) ;0,011365142
Kokku;37...38;2019;Kuusk; Osakaal (%) ;0,020560791
Kokku;35...36;2019;Kuusk; Osakaal (%) ;0,022349333
Kokku;33...34;2019;Kuusk; Osakaal (%) ;0,034276524
Kokku;31...32;2019;Kuusk; Osakaal (%) ;0,035882281
Kokku;29...30;2019;Kuusk; Osakaal (%) ;0,062137094
Kokku;27...28;2019;Kuusk; Osakaal (%) ;0,090701378
Kokku;25...26;2019;Kuusk; Osakaal (%) ;0,090993013
Kokku;23...24;2019;Kuusk; Osakaal (%) ;0,070767486
Kokku;21...22;2019;Kuusk; Osakaal (%) ;0,078935671
Kokku;19...20;2019;Kuusk; Osakaal (%) ;0,063943853
Kokku;17...18;2019;Kuusk; Osakaal (%) ;0,063478398
Kokku;15...16;2019;Kuusk; Osakaal (%) ;0,059982323
Kokku;13...14;2019;Kuusk; Osakaal (%) ;0,049251811
Kokku;11...12;2019;Kuusk; Osakaal (%) ;0,049545666
Kokku;9...10;2019;Kuusk; Osakaal (%) ;0,030304632
Kokku;7...8;2019;Kuusk; Osakaal (%) ;0,030360269
