Omand;Boniteedi klass;Majanduskategooria;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;Majandatav metsamaa;2015;Mänd;Suht.viga           (± %);0,036515426
Kokku;5A-5B;Majandatav metsamaa;2015;Mänd;Suht.viga           (± %);0,174993848
Kokku;5;Majandatav metsamaa;2015;Mänd;Suht.viga           (± %);0,121856097
Kokku;4;Majandatav metsamaa;2015;Mänd;Suht.viga           (± %);0,092576779
Kokku;3;Majandatav metsamaa;2015;Mänd;Suht.viga           (± %);0,067958468
Kokku;2;Majandatav metsamaa;2015;Mänd;Suht.viga           (± %);0,053148496
Kokku;1;Majandatav metsamaa;2015;Mänd;Suht.viga           (± %);0,055464036
Kokku;1A;Majandatav metsamaa;2015;Mänd;Suht.viga           (± %);0,091222502
Kokku;Kokku;Majandatav metsamaa;2015;Mänd; Osakaal (%) ;1
Kokku;5A-5B;Majandatav metsamaa;2015;Mänd; Osakaal (%) ;0,031638949
Kokku;5;Majandatav metsamaa;2015;Mänd; Osakaal (%) ;0,044823761
Kokku;4;Majandatav metsamaa;2015;Mänd; Osakaal (%) ;0,078784538
Kokku;3;Majandatav metsamaa;2015;Mänd; Osakaal (%) ;0,173075716
Kokku;2;Majandatav metsamaa;2015;Mänd; Osakaal (%) ;0,308178642
Kokku;1;Majandatav metsamaa;2015;Mänd; Osakaal (%) ;0,274956596
Kokku;1A;Majandatav metsamaa;2015;Mänd; Osakaal (%) ;0,088541798
Kokku;Kokku;Majandatav metsamaa;2015;Mänd;    Pindala      (tuh ha);567,795693604
Kokku;5A-5B;Majandatav metsamaa;2015;Mänd;    Pindala      (tuh ha);17,964459044
Kokku;5;Majandatav metsamaa;2015;Mänd;    Pindala      (tuh ha);25,450738281
Kokku;4;Majandatav metsamaa;2015;Mänd;    Pindala      (tuh ha);44,733521507
Kokku;3;Majandatav metsamaa;2015;Mänd;    Pindala      (tuh ha);98,271646433
Kokku;2;Majandatav metsamaa;2015;Mänd;    Pindala      (tuh ha);174,982505745
Kokku;1;Majandatav metsamaa;2015;Mänd;    Pindala      (tuh ha);156,119170967
Kokku;1A;Majandatav metsamaa;2015;Mänd;    Pindala      (tuh ha);50,273651626
Kokku;Kokku;Majandatav metsamaa;2015;Kuusk;Suht.viga           (± %);0,040020909
Kokku;5A-5B;Majandatav metsamaa;2015;Kuusk;Suht.viga           (± %);1,224315968
Kokku;5;Majandatav metsamaa;2015;Kuusk;Suht.viga           (± %);0,741401159
Kokku;4;Majandatav metsamaa;2015;Kuusk;Suht.viga           (± %);0,308769327
Kokku;3;Majandatav metsamaa;2015;Kuusk;Suht.viga           (± %);0,120019807
Kokku;2;Majandatav metsamaa;2015;Kuusk;Suht.viga           (± %);0,073786650
Kokku;1;Majandatav metsamaa;2015;Kuusk;Suht.viga           (± %);0,051850547
Kokku;1A;Majandatav metsamaa;2015;Kuusk;Suht.viga           (± %);0,061530907
Kokku;Kokku;Majandatav metsamaa;2015;Kuusk; Osakaal (%) ;1
Kokku;5A-5B;Majandatav metsamaa;2015;Kuusk; Osakaal (%) ;0,000561486
Kokku;5;Majandatav metsamaa;2015;Kuusk; Osakaal (%) ;0,001202367
Kokku;4;Majandatav metsamaa;2015;Kuusk; Osakaal (%) ;0,009231622
Kokku;3;Majandatav metsamaa;2015;Kuusk; Osakaal (%) ;0,051513063
Kokku;2;Majandatav metsamaa;2015;Kuusk; Osakaal (%) ;0,182001767
Kokku;1;Majandatav metsamaa;2015;Kuusk; Osakaal (%) ;0,414224617
Kokku;1A;Majandatav metsamaa;2015;Kuusk; Osakaal (%) ;0,341265077
Kokku;Kokku;Majandatav metsamaa;2015;Kuusk;    Pindala      (tuh ha);326,571486775
Kokku;5A-5B;Majandatav metsamaa;2015;Kuusk;    Pindala      (tuh ha);0,183365442
Kokku;5;Majandatav metsamaa;2015;Kuusk;    Pindala      (tuh ha);0,392658757
Kokku;4;Majandatav metsamaa;2015;Kuusk;    Pindala      (tuh ha);3,014784578
Kokku;3;Majandatav metsamaa;2015;Kuusk;    Pindala      (tuh ha);16,822697447
Kokku;2;Majandatav metsamaa;2015;Kuusk;    Pindala      (tuh ha);59,436587791
Kokku;1;Majandatav metsamaa;2015;Kuusk;    Pindala      (tuh ha);135,273949146
Kokku;1A;Majandatav metsamaa;2015;Kuusk;    Pindala      (tuh ha);111,447443614
Kokku;Kokku;Majandatav metsamaa;2015;Kask;Suht.viga           (± %);0,030450942
Kokku;5A-5B;Majandatav metsamaa;2015;Kask;Suht.viga           (± %);0,374653828
Kokku;5;Majandatav metsamaa;2015;Kask;Suht.viga           (± %);0,281405323
Kokku;4;Majandatav metsamaa;2015;Kask;Suht.viga           (± %);0,124357600
Kokku;3;Majandatav metsamaa;2015;Kask;Suht.viga           (± %);0,069027072
Kokku;2;Majandatav metsamaa;2015;Kask;Suht.viga           (± %);0,046997436
Kokku;1;Majandatav metsamaa;2015;Kask;Suht.viga           (± %);0,041626156
Kokku;1A;Majandatav metsamaa;2015;Kask;Suht.viga           (± %);0,078112457
Kokku;Kokku;Majandatav metsamaa;2015;Kask; Osakaal (%) ;1
Kokku;5A-5B;Majandatav metsamaa;2015;Kask; Osakaal (%) ;0,002524170
Kokku;5;Majandatav metsamaa;2015;Kask; Osakaal (%) ;0,009285189
Kokku;4;Majandatav metsamaa;2015;Kask; Osakaal (%) ;0,036482201
Kokku;3;Majandatav metsamaa;2015;Kask; Osakaal (%) ;0,137153845
Kokku;2;Majandatav metsamaa;2015;Kask; Osakaal (%) ;0,345833568
Kokku;1;Majandatav metsamaa;2015;Kask; Osakaal (%) ;0,367428690
Kokku;1A;Majandatav metsamaa;2015;Kask; Osakaal (%) ;0,101292337
Kokku;Kokku;Majandatav metsamaa;2015;Kask;    Pindala      (tuh ha);581,150950542
Kokku;5A-5B;Majandatav metsamaa;2015;Kask;    Pindala      (tuh ha);1,466923536
Kokku;5;Majandatav metsamaa;2015;Kask;    Pindala      (tuh ha);5,396096564
Kokku;4;Majandatav metsamaa;2015;Kask;    Pindala      (tuh ha);21,201665904
Kokku;3;Majandatav metsamaa;2015;Kask;    Pindala      (tuh ha);79,707087307
Kokku;2;Majandatav metsamaa;2015;Kask;    Pindala      (tuh ha);200,981506698
Kokku;1;Majandatav metsamaa;2015;Kask;    Pindala      (tuh ha);213,531532634
Kokku;1A;Majandatav metsamaa;2015;Kask;    Pindala      (tuh ha);58,866137901
Kokku;Kokku;Majandatav metsamaa;2015;Haab;Suht.viga           (± %);0,060762839
Kokku;5A-5B;Majandatav metsamaa;2015;Haab;Suht.viga           (± %);
Kokku;5;Majandatav metsamaa;2015;Haab;Suht.viga           (± %);
Kokku;4;Majandatav metsamaa;2015;Haab;Suht.viga           (± %);0,897474934
Kokku;3;Majandatav metsamaa;2015;Haab;Suht.viga           (± %);0,304927509
Kokku;2;Majandatav metsamaa;2015;Haab;Suht.viga           (± %);0,160106326
Kokku;1;Majandatav metsamaa;2015;Haab;Suht.viga           (± %);0,074559314
Kokku;1A;Majandatav metsamaa;2015;Haab;Suht.viga           (± %);0,101652214
