Omand;Boniteedi klass;Majanduskategooria;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;Mittemajandatavad metsad;2001;Mänd;Suht.viga           (± %);0,138332784
Kokku;5A-5B;Mittemajandatavad metsad;2001;Mänd;Suht.viga           (± %);0,249404615
Kokku;5;Mittemajandatavad metsad;2001;Mänd;Suht.viga           (± %);0,214722576
Kokku;4;Mittemajandatavad metsad;2001;Mänd;Suht.viga           (± %);0,195408178
Kokku;3;Mittemajandatavad metsad;2001;Mänd;Suht.viga           (± %);0,184623095
Kokku;2;Mittemajandatavad metsad;2001;Mänd;Suht.viga           (± %);0,192475243
Kokku;1;Mittemajandatavad metsad;2001;Mänd;Suht.viga           (± %);0,309127209
Kokku;1A;Mittemajandatavad metsad;2001;Mänd;Suht.viga           (± %);0,706672612
Kokku;Kokku;Mittemajandatavad metsad;2001;Mänd; Osakaal (%) ;1
Kokku;5A-5B;Mittemajandatavad metsad;2001;Mänd; Osakaal (%) ;0,149138250
Kokku;5;Mittemajandatavad metsad;2001;Mänd; Osakaal (%) ;0,166328343
Kokku;4;Mittemajandatavad metsad;2001;Mänd; Osakaal (%) ;0,183060685
Kokku;3;Mittemajandatavad metsad;2001;Mänd; Osakaal (%) ;0,226715970
Kokku;2;Mittemajandatavad metsad;2001;Mänd; Osakaal (%) ;0,195519596
Kokku;1;Mittemajandatavad metsad;2001;Mänd; Osakaal (%) ;0,071936514
Kokku;1A;Mittemajandatavad metsad;2001;Mänd; Osakaal (%) ;0,007300642
Kokku;Kokku;Mittemajandatavad metsad;2001;Mänd;    Pindala      (tuh ha);102,481181009
Kokku;5A-5B;Mittemajandatavad metsad;2001;Mänd;    Pindala      (tuh ha);15,283864038
Kokku;5;Mittemajandatavad metsad;2001;Mänd;    Pindala      (tuh ha);17,045524999
Kokku;4;Mittemajandatavad metsad;2001;Mänd;    Pindala      (tuh ha);18,760275171
Kokku;3;Mittemajandatavad metsad;2001;Mänd;    Pindala      (tuh ha);23,234120394
Kokku;2;Mittemajandatavad metsad;2001;Mänd;    Pindala      (tuh ha);20,037079092
Kokku;1;Mittemajandatavad metsad;2001;Mänd;    Pindala      (tuh ha);7,372138873
Kokku;1A;Mittemajandatavad metsad;2001;Mänd;    Pindala      (tuh ha);0,748178442
Kokku;Kokku;Mittemajandatavad metsad;2001;Kuusk;Suht.viga           (± %);0,224828104
Kokku;5A-5B;Mittemajandatavad metsad;2001;Kuusk;Suht.viga           (± %);
Kokku;5;Mittemajandatavad metsad;2001;Kuusk;Suht.viga           (± %);
Kokku;4;Mittemajandatavad metsad;2001;Kuusk;Suht.viga           (± %);
Kokku;3;Mittemajandatavad metsad;2001;Kuusk;Suht.viga           (± %);0,429084497
Kokku;2;Mittemajandatavad metsad;2001;Kuusk;Suht.viga           (± %);0,325395547
Kokku;1;Mittemajandatavad metsad;2001;Kuusk;Suht.viga           (± %);0,326291084
Kokku;1A;Mittemajandatavad metsad;2001;Kuusk;Suht.viga           (± %);0,998852084
Kokku;Kokku;Mittemajandatavad metsad;2001;Kuusk; Osakaal (%) ;1
Kokku;5A-5B;Mittemajandatavad metsad;2001;Kuusk; Osakaal (%) ;
Kokku;5;Mittemajandatavad metsad;2001;Kuusk; Osakaal (%) ;
Kokku;4;Mittemajandatavad metsad;2001;Kuusk; Osakaal (%) ;
Kokku;3;Mittemajandatavad metsad;2001;Kuusk; Osakaal (%) ;0,249738450
Kokku;2;Mittemajandatavad metsad;2001;Kuusk; Osakaal (%) ;0,353755639
