Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;132,9
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;123,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;121,5
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;124,2
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;127,7
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;127,1
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;124,1
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;124,7
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;121,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;120,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;120,9
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;123,6
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;129,5
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;129,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;128,5
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;131,0
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;134,5
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;138,3
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;143,6
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;145,8
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;149,0
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;151,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;149,0
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;149,8
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;152,6
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;Kokku ;158,5
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;141...;
