Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;660,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;680,2
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;688,6
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;691,6
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;700,9
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;699,9
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;702,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;687,6
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;681,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;670,7
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;677,5
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;681,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;700,5
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;701,9
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;697,5
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;689,9
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;691,9
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;681,7
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;687,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;683,5
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;683,1
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;683,9
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;686,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;686,5
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;696,8
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;Kokku ;701,5
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;141...;
