Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;60,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;63,4
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;65,6
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;61,2
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;66,4
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;69,4
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;68,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;66,2
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;68,9
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;68,7
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;70,5
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;71,8
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;74,4
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;78,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;78,0
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;75,5
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;78,3
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;82,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;86,8
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;88,5
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;91,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;95,1
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;95,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;95,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;97,6
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;Kokku ;98,5
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;141...;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;
