Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;200,0
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;178,3
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;187,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;185,2
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;200,7
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;202,4
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;207,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;208,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;196,3
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;184,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;184,7
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;187,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;184,2
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;196,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;205,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;207,8
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;210,0
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;208,4
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;205,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;208,4
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;208,7
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;210,1
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;219,0
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;226,8
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;229,8
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;Kokku ;228,6
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;141...;
