Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;30,4
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27,4
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;27,1
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;26,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;32,1
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;32,0
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;32,5
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;36,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;36,8
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;34,0
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;34,0
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;34,8
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;31,2
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;33,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;34,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;33,3
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;32,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;32,1
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;32,9
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;32,8
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;31,5
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;30,6
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;30,5
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;Kokku ;29,6
