Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;373,5
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;390,5
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;394,0
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;386,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;384,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;382,1
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;376,1
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;368,9
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;363,1
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;365,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;354,3
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;356,3
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;362,9
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;358,0
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;356,5
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;375,3
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;378,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;379,5
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;381,5
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;392,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;387,9
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;379,2
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;363,5
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;360,2
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;359,8
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;Kokku ;361,4
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,4
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,4
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,4
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,6
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,6
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,6
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,8
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,2
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,2
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,0
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,6
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,5
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,8
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,8
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;1,1
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,9
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,6
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,3
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,3
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;141...;0,5
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,2
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,2
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,2
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,4
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,4
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,4
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,1
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,6
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,5
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,6
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,6
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,8
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;2,1
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,4
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,1
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,2
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,8
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,6
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,3
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,0
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,4
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,5
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,5
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,8
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,8
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,9
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,1
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,0
