Omand;Raie aasta;Meetrik;Tüübi grupp;Kaitsepõhjus;Meetriku väärtus
Kokku;2023;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;511,5
Kokku;2023;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;266,3
Kokku;2023;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;33,5
Kokku;2023;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;8 918,7
Kokku;2023;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;74,6
Kokku;2023;Väljaraie m³/ha;Uuendusraie;Turberaie;188,3
Kokku;2023;Pindala (tuhat ha);Uuendusraie;Turberaie;1,5
Kokku;2023;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;279,9
Kokku;2023;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;436,9
Kokku;2023;Väljaraie m³/ha;Uuendusraie;Lageraie;269,9
Kokku;2023;Pindala (tuhat ha);Uuendusraie;Lageraie;32,0
Kokku;2023;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;8 638,8
Kokku;2022;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;502,9
Kokku;2022;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;278,1
Kokku;2022;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;34,5
Kokku;2022;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;9 603,5
Kokku;2022;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;54,7
Kokku;2022;Väljaraie m³/ha;Uuendusraie;Turberaie;173,2
Kokku;2022;Pindala (tuhat ha);Uuendusraie;Turberaie;1,9
Kokku;2022;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;326,5
Kokku;2022;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;448,1
Kokku;2022;Väljaraie m³/ha;Uuendusraie;Lageraie;284,2
Kokku;2022;Pindala (tuhat ha);Uuendusraie;Lageraie;32,6
Kokku;2022;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;9 276,9
Kokku;2021;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;356,3
Kokku;2021;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;267,2
Kokku;2021;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;30,2
Kokku;2021;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;8 062,2
Kokku;2021;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;90,5
Kokku;2021;Väljaraie m³/ha;Uuendusraie;Turberaie;142,1
Kokku;2021;Pindala (tuhat ha);Uuendusraie;Turberaie;3,1
Kokku;2021;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;443,3
Kokku;2021;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;265,8
Kokku;2021;Väljaraie m³/ha;Uuendusraie;Lageraie;281,6
Kokku;2021;Pindala (tuhat ha);Uuendusraie;Lageraie;27,1
Kokku;2021;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;7 618,9
Kokku;2020;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;375,8
Kokku;2020;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;252,9
Kokku;2020;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;34,0
Kokku;2020;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;8 599,2
Kokku;2020;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;70,8
Kokku;2020;Väljaraie m³/ha;Uuendusraie;Turberaie;136,7
Kokku;2020;Pindala (tuhat ha);Uuendusraie;Turberaie;4,3
Kokku;2020;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;588,0
Kokku;2020;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;305,0
Kokku;2020;Väljaraie m³/ha;Uuendusraie;Lageraie;269,7
Kokku;2020;Pindala (tuhat ha);Uuendusraie;Lageraie;29,7
Kokku;2020;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;8 011,3
Kokku;2019;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;378,3
Kokku;2019;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;262,3
Kokku;2019;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;34,9
Kokku;2019;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;9 149,6
Kokku;2019;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;74,3
Kokku;2019;Väljaraie m³/ha;Uuendusraie;Turberaie;155,7
Kokku;2019;Pindala (tuhat ha);Uuendusraie;Turberaie;5,2
Kokku;2019;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;811,5
Kokku;2019;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;304,0
Kokku;2019;Väljaraie m³/ha;Uuendusraie;Lageraie;281,0
Kokku;2019;Pindala (tuhat ha);Uuendusraie;Lageraie;29,7
Kokku;2019;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;8 338,0
Kokku;2018;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;513,1
Kokku;2018;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;276,4
Kokku;2018;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;38,4
Kokku;2018;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;10 627,2
Kokku;2018;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;36,4
Kokku;2018;Väljaraie m³/ha;Uuendusraie;Turberaie;159,5
Kokku;2018;Pindala (tuhat ha);Uuendusraie;Turberaie;3,9
Kokku;2018;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;619,0
Kokku;2018;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;476,6
Kokku;2018;Väljaraie m³/ha;Uuendusraie;Lageraie;289,6
Kokku;2018;Pindala (tuhat ha);Uuendusraie;Lageraie;34,6
Kokku;2018;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;10 008,2
Kokku;2017;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;464,5
Kokku;2017;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;273,1
Kokku;2017;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;38,9
Kokku;2017;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;10 619,0
Kokku;2017;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;29,8
Kokku;2017;Väljaraie m³/ha;Uuendusraie;Turberaie;155,0
Kokku;2017;Pindala (tuhat ha);Uuendusraie;Turberaie;3,2
Kokku;2017;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;501,2
Kokku;2017;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;434,8
Kokku;2017;Väljaraie m³/ha;Uuendusraie;Lageraie;283,9
Kokku;2017;Pindala (tuhat ha);Uuendusraie;Lageraie;35,6
Kokku;2017;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;10 117,8
Kokku;2016;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;382,1
Kokku;2016;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;263,4
Kokku;2016;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;34,3
Kokku;2016;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;9 024,5
Kokku;2016;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;7,6
Kokku;2016;Väljaraie m³/ha;Uuendusraie;Turberaie;79,5
Kokku;2016;Pindala (tuhat ha);Uuendusraie;Turberaie;1,8
Kokku;2016;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;145,1
Kokku;2016;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;374,5
Kokku;2016;Väljaraie m³/ha;Uuendusraie;Lageraie;273,7
Kokku;2016;Pindala (tuhat ha);Uuendusraie;Lageraie;32,4
Kokku;2016;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;8 879,4
Kokku;2015;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;241,1
Kokku;2015;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;242,3
Kokku;2015;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;34,0
Kokku;2015;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;8 240,0
Kokku;2015;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;7,6
Kokku;2015;Väljaraie m³/ha;Uuendusraie;Turberaie;99,1
Kokku;2015;Pindala (tuhat ha);Uuendusraie;Turberaie;2,4
Kokku;2015;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;242,4
Kokku;2015;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;233,4
Kokku;2015;Väljaraie m³/ha;Uuendusraie;Lageraie;253,4
Kokku;2015;Pindala (tuhat ha);Uuendusraie;Lageraie;31,6
Kokku;2015;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;7 997,6
